i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.17541496194040251,1
0,2,0.21354372190863405,2
0,3,0.3177674918563318,3
0,4,0.11862438555916384,4
1,0,0.17541496194040251,1
1,1,1.0,0
1,2,0.23789184031708344,1
1,3,0.2204526853061042,2
1,4,0.18122591470654148,3
2,0,0.21354372190863405,2
2,1,0.23789184031708344,1
2,2,1.0,0
2,3,0.19595731418049642,1
2,4,0.23464037922860587,2
3,0,0.3177674918563318,3
3,1,0.2204526853061042,2
3,2,0.19595731418049642,1
3,3,1.0,0
3,4,0.3266056637910717,1
4,0,0.11862438555916384,4
4,1,0.18122591470654148,3
4,2,0.23464037922860587,2
4,3,0.3266056637910717,1
4,4,1.0,0
