parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.5793340567217298
decoder.encoder.layers.0.linear1.bias,0,2,0.16296890996081131
decoder.encoder.layers.0.linear1.bias,1,0,0.5793340567217298
decoder.encoder.layers.0.linear1.bias,1,2,0.2685932676448461
decoder.encoder.layers.0.linear1.bias,2,0,0.16296890996081131
decoder.encoder.layers.0.linear1.bias,2,1,0.2685932676448461
decoder.encoder.layers.0.linear1.weight,0,1,0.34216694902262257
decoder.encoder.layers.0.linear1.weight,0,2,0.016590376328112343
decoder.encoder.layers.0.linear1.weight,1,0,0.34216694902262257
decoder.encoder.layers.0.linear1.weight,1,2,0.15832279026895632
decoder.encoder.layers.0.linear1.weight,2,0,0.016590376328112343
decoder.encoder.layers.0.linear1.weight,2,1,0.15832279026895632
decoder.encoder.layers.0.linear2.bias,0,1,0.6960618474596891
decoder.encoder.layers.0.linear2.bias,0,2,0.138232306270066
decoder.encoder.layers.0.linear2.bias,1,0,0.6960618474596891
decoder.encoder.layers.0.linear2.bias,1,2,0.33805394317916915
decoder.encoder.layers.0.linear2.bias,2,0,0.138232306270066
decoder.encoder.layers.0.linear2.bias,2,1,0.33805394317916915
decoder.encoder.layers.0.linear2.weight,0,1,0.4762670680591349
decoder.encoder.layers.0.linear2.weight,0,2,0.0728732953053299
decoder.encoder.layers.0.linear2.weight,1,0,0.4762670680591349
decoder.encoder.layers.0.linear2.weight,1,2,0.2665412613257198
decoder.encoder.layers.0.linear2.weight,2,0,0.0728732953053299
decoder.encoder.layers.0.linear2.weight,2,1,0.2665412613257198
decoder.encoder.layers.0.norm1.bias,0,1,0.665196399456318
decoder.encoder.layers.0.norm1.bias,0,2,0.31551437962502976
decoder.encoder.layers.0.norm1.bias,1,0,0.665196399456318
decoder.encoder.layers.0.norm1.bias,1,2,0.28504347217716636
decoder.encoder.layers.0.norm1.bias,2,0,0.31551437962502976
decoder.encoder.layers.0.norm1.bias,2,1,0.28504347217716636
decoder.encoder.layers.0.norm1.weight,0,1,0.5993194376301482
decoder.encoder.layers.0.norm1.weight,0,2,0.4977766785263391
decoder.encoder.layers.0.norm1.weight,1,0,0.5993194376301482
decoder.encoder.layers.0.norm1.weight,1,2,0.585299269818968
decoder.encoder.layers.0.norm1.weight,2,0,0.4977766785263391
decoder.encoder.layers.0.norm1.weight,2,1,0.585299269818968
decoder.encoder.layers.0.norm2.bias,0,1,0.7027964497895937
decoder.encoder.layers.0.norm2.bias,0,2,-0.06459674124492346
decoder.encoder.layers.0.norm2.bias,1,0,0.7027964497895937
decoder.encoder.layers.0.norm2.bias,1,2,0.15895528076148924
decoder.encoder.layers.0.norm2.bias,2,0,-0.06459674124492346
decoder.encoder.layers.0.norm2.bias,2,1,0.15895528076148924
decoder.encoder.layers.0.norm2.weight,0,1,0.4826068274748085
decoder.encoder.layers.0.norm2.weight,0,2,0.06800232892379562
decoder.encoder.layers.0.norm2.weight,1,0,0.4826068274748085
decoder.encoder.layers.0.norm2.weight,1,2,0.2444193731579605
decoder.encoder.layers.0.norm2.weight,2,0,0.06800232892379562
decoder.encoder.layers.0.norm2.weight,2,1,0.2444193731579605
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.567084015411002
