i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.4787563600907989,1
0,2,0.08339811633204898,2
1,0,0.4787563600907989,1
1,1,1.0,0
1,2,0.1498438029344425,1
2,0,0.08339811633204898,2
2,1,0.1498438029344425,1
2,2,1.0,0
