dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
ettm2-f0.75,3,merge,origin_ettm2_merge_f075,4,4,10333,3,0.689474,0.049203,2
ettm2-f0.75,3,sequential,origin_ettm2_sequential_f075,4,4,10333,3,0.932656,0.151234,3
ettm2-f0.75,3,window,origin_ettm2_window_f075,4,4,10333,3,0.987126,0.158768,4
ettm2-f0.75,3,base,origin_ettm2_merge_f075,4,4,10333,3,1.828315,0.907495,
ettm2-f0.875,3,joint,origin_ettm2_joint_f0875,1,4,12075,3,0.129588,0.021837,2
ettm2-f0.875,3,merge,origin_ettm2_merge_f0875,1,4,12075,3,0.325665,0.06036,4
ettm2-f0.875,3,sequential,origin_ettm2_sequential_f0875,1,4,12075,3,0.116235,0.008024,1
ettm2-f0.875,3,window,origin_ettm2_window_f0875,1,4,12075,3,0.151285,0.007121,3
ettm2-f0.875,3,base,origin_ettm2_merge_f0875,1,4,12075,3,1.06863,0.278157,
ettm2-f0.875,3,joint,origin_ettm2_joint_f0875,2,4,12075,3,0.157683,0.021143,1
ettm2-f0.875,3,merge,origin_ettm2_merge_f0875,2,4,12075,3,0.284867,0.040954,4
ettm2-f0.875,3,sequential,origin_ettm2_sequential_f0875,2,4,12075,3,0.177229,0.015732,2
ettm2-f0.875,3,window,origin_ettm2_window_f0875,2,4,12075,3,0.230534,0.028769,3
ettm2-f0.875,3,base,origin_ettm2_merge_f0875,2,4,12075,3,0.807742,0.217856,
ettm2-f0.875,3,joint,origin_ettm2_joint_f0875,3,4,12075,3,0.151766,0.021023,1
ettm2-f0.875,3,merge,origin_ettm2_merge_f0875,3,4,12075,3,0.357555,0.049621,4
ettm2-f0.875,3,sequential,origin_ettm2_sequential_f0875,3,4,12075,3,0.197875,0.013707,2
ettm2-f0.875,3,window,origin_ettm2_window_f0875,3,4,12075,3,0.235213,0.016359,3
ettm2-f0.875,3,base,origin_ettm2_merge_f0875,3,4,12075,3,1.003046,0.229468,
ettm2-f0.875,3,joint,origin_ettm2_joint_f0875,4,4,12075,3,0.100164,0.00453,2
ettm2-f0.875,3,merge,origin_ettm2_merge_f0875,4,4,12075,3,0.420759,0.132773,4
ettm2-f0.875,3,sequential,origin_ettm2_sequential_f0875,4,4,12075,3,0.107675,0.004067,3
ettm2-f0.875,3,window,origin_ettm2_window_f0875,4,4,12075,3,0.099774,0.004234,1
ettm2-f0.875,3,base,origin_ettm2_merge_f0875,4,4,12075,3,0.79775,0.075838,
