dataset,n,metric,higher_is_better,floor_pct,method,role,selection,value,sd,n_seeds,rank,n_ranked,gap_to_best_pct,gap_over_floor,adaptive_paired_plain,source
ETTh2,2,forecast/mse,False,6.741,dare,candidate,val-selected alpha,0.2608216504255931,0.04097210004945765,3,3,8,11.8369,1.756,,merge_baselines
ETTh2,2,forecast/mse,False,6.741,ties,candidate,val-selected alpha,0.6065160234769186,0.11896265525398206,3,8,8,160.0662,23.7452,,merge_baselines
ETTh2,2,forecast/mse,False,6.741,iso_c,candidate,val-selected alpha,0.2973360518614451,0.05967510600675064,3,5,8,27.4938,4.0786,,merge_baselines
ETTh2,2,forecast/mse,False,6.741,tsv,candidate,val-selected alpha,0.305671622355779,0.05678583697970382,3,6,8,31.068,4.6088,,merge_baselines
ETTh2,2,forecast/mse,False,6.741,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.5631070137023926,0.23648440482696764,3,7,8,141.453,20.984,0.23321597774823508,adaptive_lambda
ETTh2,3,forecast/mse,False,6.741,base,reference,none,0.912174,,,,8,372.7632,55.2979,,method_comparison
ETTh2,3,forecast/mse,False,6.741,joint,reference,shared configuration,0.136248,,,,8,-29.3851,-4.3592,,method_comparison
ETTh2,3,forecast/mse,False,6.741,specialists,reference,mean of per-segment models,0.29701,,,,8,53.9349,8.001,,method_comparison
ETTh2,3,forecast/mse,False,6.741,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.215281,,,,8,11.5762,1.7173,,method_comparison
ETTh2,3,forecast/mse,False,6.741,sequential,candidate,final step,0.196985,,,3,8,2.0937,0.3106,,method_comparison
ETTh2,3,forecast/mse,False,6.741,window_val,candidate,W selected on validation,0.295173,,,6,8,52.9828,7.8598,,method_comparison
ETTh2,3,forecast/mse,False,6.741,window_oracle,reference,W selected on TEST,0.295173,,,,8,52.9828,7.8598,,method_comparison
ETTh2,3,forecast/mse,False,6.741,ta,candidate,val-selected alpha,0.1929452121257782,0.0014168606879607585,3,1,8,0.0,0.0,,merge_baselines
ETTh2,3,forecast/mse,False,6.741,dare,candidate,val-selected alpha,0.19606979191303253,0.0034906414589194273,3,2,8,1.6194,0.2402,,merge_baselines
ETTh2,3,forecast/mse,False,6.741,ties,candidate,val-selected alpha,0.42691702644030255,0.05216788322358236,3,8,8,121.2633,17.9889,,merge_baselines
ETTh2,3,forecast/mse,False,6.741,iso_c,candidate,val-selected alpha,0.25813432534535724,0.051619791698088384,3,5,8,33.7863,5.0121,,merge_baselines
ETTh2,3,forecast/mse,False,6.741,tsv,candidate,val-selected alpha,0.22413381934165955,0.011541865562842644,3,4,8,16.1645,2.3979,,merge_baselines
ETTh2,3,forecast/mse,False,6.741,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.2977343002955119,0.032775935264391716,3,7,8,54.3103,8.0567,0.1969845394293467,adaptive_lambda
ETTh2,5,forecast/mse,False,6.741,base,reference,none,0.862824,,,,8,286.1861,42.4546,,method_comparison
ETTh2,5,forecast/mse,False,6.741,joint,reference,shared configuration,0.136248,,,,8,-39.0176,-5.7881,,method_comparison
ETTh2,5,forecast/mse,False,6.741,specialists,reference,mean of per-segment models,0.332331,,,,8,48.746,7.2313,,method_comparison
ETTh2,5,forecast/mse,False,6.741,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.26692,,,,8,19.4691,2.8882,,method_comparison
ETTh2,5,forecast/mse,False,6.741,sequential,candidate,final step,0.249455,,,3,8,11.652,1.7285,,method_comparison
ETTh2,5,forecast/mse,False,6.741,window_val,candidate,W selected on validation,0.295173,,,7,8,32.1147,4.7641,,method_comparison
ETTh2,5,forecast/mse,False,6.741,window_oracle,reference,W selected on TEST,0.295173,,,,8,32.1147,4.7641,,method_comparison
ETTh2,5,forecast/mse,False,6.741,ta,candidate,val-selected alpha,0.22342179715633392,0.014536142761364357,3,1,8,0.0,0.0,,merge_baselines
ETTh2,5,forecast/mse,False,6.741,dare,candidate,val-selected alpha,0.22369290391604105,0.013075835510896307,3,2,8,0.1213,0.018,,merge_baselines
ETTh2,5,forecast/mse,False,6.741,ties,candidate,val-selected alpha,0.2786033054192861,0.010900126546126527,3,6,8,24.6984,3.6639,,merge_baselines
ETTh2,5,forecast/mse,False,6.741,iso_c,candidate,val-selected alpha,0.27647629380226135,0.048047556977928715,3,5,8,23.7463,3.5227,,merge_baselines
ETTh2,5,forecast/mse,False,6.741,tsv,candidate,val-selected alpha,0.2533196856578191,0.01821625983376378,3,4,8,13.3818,1.9851,,merge_baselines
ETTh2,5,forecast/mse,False,6.741,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.3420925736427307,0.020234494248104345,3,8,8,53.1151,7.8794,0.24945528308550516,adaptive_lambda
ETTm2,2,forecast/mse,False,14.107,base,reference,none,0.572725,,,,8,501.3682,35.5404,,method_comparison
ETTm2,2,forecast/mse,False,14.107,joint,reference,shared configuration,0.075037,,,,8,-21.2102,-1.5035,,method_comparison
ETTm2,2,forecast/mse,False,14.107,specialists,reference,mean of per-segment models,0.141174,,,,8,48.2344,3.4192,,method_comparison
ETTm2,2,forecast/mse,False,14.107,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.123973,,,,8,30.1731,2.1389,,method_comparison
ETTm2,2,forecast/mse,False,14.107,sequential,candidate,final step,0.095237,,,1,8,0.0,0.0,,method_comparison
ETTm2,2,forecast/mse,False,14.107,window_val,candidate,W selected on validation,0.109166,,,2,8,14.6256,1.0368,,method_comparison
ETTm2,2,forecast/mse,False,14.107,window_oracle,reference,W selected on TEST,0.109166,,,,8,14.6256,1.0368,,method_comparison
ETTm2,2,forecast/mse,False,14.107,ta,candidate,val-selected alpha,0.14550816267728806,0.03501984031127852,3,5,8,52.7853,3.7418,,merge_baselines
ETTm2,2,forecast/mse,False,14.107,dare,candidate,val-selected alpha,0.17769141495227814,0.01503811172493202,3,6,8,86.5781,6.1372,,merge_baselines
ETTm2,2,forecast/mse,False,14.107,ties,candidate,val-selected alpha,0.40658536553382874,0.0498575305083824,3,8,8,326.9195,23.1743,,merge_baselines
ETTm2,2,forecast/mse,False,14.107,iso_c,candidate,val-selected alpha,0.25345905621846515,0.05262376531977505,3,7,8,166.1351,11.7768,,merge_baselines
ETTm2,2,forecast/mse,False,14.107,tsv,candidate,val-selected alpha,0.1411931961774826,0.009987432416678566,3,4,8,48.2546,3.4206,,merge_baselines
ETTm2,2,forecast/mse,False,14.107,adaptive_lambda,candidate,"final step, B = 1 (corrected)",0.13525217274824777,0.0035158841917987222,3,3,8,42.0164,2.9784,0.09523722032705943,adaptive_lambda
ETTm2,3,forecast/mse,False,14.107,base,reference,none,0.57878,,,,8,529.3207,37.5219,,method_comparison
ETTm2,3,forecast/mse,False,14.107,joint,reference,shared configuration,0.075037,,,,8,-18.4106,-1.3051,,method_comparison
ETTm2,3,forecast/mse,False,14.107,specialists,reference,mean of per-segment models,0.153148,,,,8,66.5213,4.7155,,method_comparison
ETTm2,3,forecast/mse,False,14.107,merge_ta_published,reference,val-selected alpha (§1.26 grid),0.112149,,,,8,21.9422,1.5554,,method_comparison
ETTm2,3,forecast/mse,False,14.107,sequential,candidate,final step,0.091969,,,1,8,0.0,0.0,,method_comparison
ETTm2,3,forecast/mse,False,14.107,window_val,candidate,W selected on validation,0.109166,,,2,8,18.6987,1.3255,,method_comparison
ETTm2,3,forecast/mse,False,14.107,window_oracle,reference,W selected on TEST,0.109166,,,,8,18.6987,1.3255,,method_comparison
ETTm2,3,forecast/mse,False,14.107,ta,candidate,val-selected alpha,0.11442957570155461,0.02629487055068159,3,3,8,24.4219,1.7312,,merge_baselines
ETTm2,3,forecast/mse,False,14.107,dare,candidate,val-selected alpha,0.1246942604581515,0.028143199659795105,3,4,8,35.5829,2.5224,,merge_baselines
ETTm2,3,forecast/mse,False,14.107,ties,candidate,val-selected alpha,0.27789375682671863,0.04337098624724249,3,8,8,202.1602,14.3305,,merge_baselines
ETTm2,3,forecast/mse,False,14.107,iso_c,candidate,val-selected alpha,0.1844149132569631,0.005596612138727954,3,7,8,100.5186,7.1254,,merge_baselines
ETTm2,3,forecast/mse,False,14.107,tsv,candidate,val-selected alpha,0.1419120579957962,0.009134711087158801,3,6,8,54.3042,3.8495,,merge_baselines
