i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.13616733579282464,1
0,2,0.16028900253958142,2
0,3,0.19364765519706834,3
0,4,0.18141328890356345,4
1,0,0.13616733579282464,1
1,1,1.0,0
1,2,0.2566782420485395,1
1,3,0.17165272131255555,2
1,4,0.13509338424429848,3
2,0,0.16028900253958142,2
2,1,0.2566782420485395,1
2,2,1.0,0
2,3,0.349820228256193,1
2,4,0.27665939484798235,2
3,0,0.19364765519706834,3
3,1,0.17165272131255555,2
3,2,0.349820228256193,1
3,3,1.0,0
3,4,0.47986787162250044,1
4,0,0.18141328890356345,4
4,1,0.13509338424429848,3
4,2,0.27665939484798235,2
4,3,0.47986787162250044,1
4,4,1.0,0
