i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.4439776671393496,1
0,2,0.41179067244851125,2
0,3,0.11402290860567715,3
0,4,0.09348209651092476,4
1,0,0.4439776671393496,1
1,1,1.0,0
1,2,0.52021343563852,1
1,3,0.3047268377299801,2
1,4,0.3198047886379554,3
2,0,0.41179067244851125,2
2,1,0.52021343563852,1
2,2,1.0,0
2,3,0.42958160121264705,1
2,4,0.3658658814486336,2
3,0,0.11402290860567715,3
3,1,0.3047268377299801,2
3,2,0.42958160121264705,1
3,3,1.0,0
3,4,0.24560157270753197,1
4,0,0.09348209651092476,4
4,1,0.3198047886379554,3
4,2,0.3658658814486336,2
4,3,0.24560157270753197,1
4,4,1.0,0
