step,lambda_star,one_over_t,weight,one_over_n,max_dev_from_uniform,fisher_batches,fisher_seed,seed
0,1.0,1.0,0.17148157514584206,0.2,0.3164202332473349,256,0,42
1,0.5383018282932378,0.5,0.19993331374558493,0.2,0.3164202332473349,256,0,42
2,0.3825505571529979,0.3333333333333333,0.2301159622481698,0.2,0.3164202332473349,256,0,42
3,0.3032063392411491,0.25,0.26175319550987025,0.2,0.3164202332473349,256,0,42
4,0.13671595335053302,0.2,0.13671595335053302,0.2,0.3164202332473349,256,0,42
