i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.11956382897716497,1
0,2,0.11269708172421074,2
0,3,0.1621892256720626,3
0,4,0.1397124100938388,4
1,0,0.11956382897716497,1
1,1,1.0,0
1,2,0.24158296306674268,1
1,3,0.12229811266519086,2
1,4,0.07359544160951802,3
2,0,0.11269708172421074,2
2,1,0.24158296306674268,1
2,2,1.0,0
2,3,0.28241347690041435,1
2,4,0.19870303902050718,2
3,0,0.1621892256720626,3
3,1,0.12229811266519086,2
3,2,0.28241347690041435,1
3,3,1.0,0
3,4,0.476230018592377,1
4,0,0.1397124100938388,4
4,1,0.07359544160951802,3
4,2,0.19870303902050718,2
4,3,0.476230018592377,1
4,4,1.0,0
