test,dataset,n_segments,metric,n_seeds,floor_pct,baseline_label,baseline,baseline_sd,variant_label,variant,variant_sd,delta_pct,verdict,committed_alpha,target_alpha_times_n,implied_alpha_times_n,threshold,opcm_norm_ratio,distance_ratio,confounded,alpha_n_ok,n_seeds_expected,complete,source_experiment,base,joint,joint_from,grr_baseline,grr_baseline_sd,grr_baseline_derived,grr_variant,grr_variant_sd,grr_delta,grr_delta_paired_sd,baseline_matched_seed,delta_pct_matched_seed,verdict_matched_seed,matched_seed_n,verdict_changed
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.3",0.628659,0.011586,26.648,worse,0.316667,0.95,0.95,0.3,0.470098,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.381296,0.033919,-0.387247,0.01262,,,,,
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.5",0.682158,0.016083,37.426,worse,0.316667,0.95,0.95,0.5,0.416768,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.224674,0.047084,-0.543869,0.016319,,,,,
P4_opcm_committed,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at committed alpha, thr=0.7",0.700097,0.022305,41.04,worse,0.316667,0.95,0.95,0.7,0.380512,,coefficient_not_distance_matched,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.172156,0.065299,-0.596387,0.035374,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.3",0.595472,0.010951,19.962,worse,0.316667,0.95,0.95,0.3,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.478453,0.03206,-0.29009,0.023884,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.5",0.657854,0.017743,32.53,worse,0.316667,0.95,0.95,0.5,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.295825,0.051944,-0.472718,0.027478,,,,,
P5_opcm_distance,ETTh1,3,forecast/mse,3,8.759,plain sum at committed alpha,0.496383,0.010514,"paper projection at matched distance, thr=0.7",0.68201,0.027163,37.396,worse,0.316667,0.95,0.95,0.7,,1.0,,1,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.768543,0.03078,0.7685,0.225107,0.079522,-0.543436,0.049758,,,,,
P3_order_reversal,ETTh1,3,forecast/mse,3,8.759,OPCM forward (opcm_t050),0.491435,0.009329,OPCM reversed (opcm_t050_rev),0.560991,0.026474,14.154,worse,,,,,,,,,3,1,selalpha_etth1_n3,0.758902,0.417322,"('origin_etth1_joint_f10', 0)",0.783029,0.027311,,0.579399,0.077505,-0.20363,0.05439,,,,,
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,paper OPCM alpha=0.3,0.495481,0.042495,9.695,worse,0.2,,1.579513,0.3,1.0,,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.732203,0.147964,-0.15248,0.085109,,,,,
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,paper OPCM alpha=0.5,0.563695,0.071044,24.797,worse,0.2,,1.579513,0.5,1.0,,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.494688,0.247369,-0.389995,0.18775,,,,,
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,paper OPCM alpha=0.7,0.598548,0.08241,32.513,worse,0.2,,1.579513,0.7,1.0,,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.373333,0.286944,-0.51135,0.227021,,,,,
P1_paper_opcm,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,simplified OPCM (1.35),0.461242,0.021127,2.115,tie (inside floor),0.2,,,,,,,,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.85142,0.073562,-0.033263,0.024126,,,,,
P4_opcm_committed,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at committed alpha, thr=0.3",0.59853,0.048474,32.509,worse,0.2,1.0,1.0,0.3,0.374588,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.373396,0.168782,-0.511287,0.142901,,,,,
P4_opcm_committed,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at committed alpha, thr=0.5",0.643632,0.052614,42.494,worse,0.2,1.0,1.0,0.5,0.308679,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.216355,0.183197,-0.668328,0.159467,,,,,
P4_opcm_committed,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at committed alpha, thr=0.7",0.66111,0.049685,46.364,worse,0.2,1.0,1.0,0.7,0.258052,,coefficient_not_distance_matched,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.155498,0.172999,-0.729185,0.151643,,,,,
P5_opcm_distance,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at matched distance, thr=0.3",0.543545,0.042228,20.336,worse,0.2,1.0,1.0,0.3,,1.0,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.564849,0.147034,-0.319834,0.09141,,,,,
P5_opcm_distance,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at matched distance, thr=0.5",0.595065,0.058941,31.742,worse,0.2,1.0,1.0,0.5,,1.0,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.385461,0.205227,-0.499222,0.151923,,,,,
P5_opcm_distance,ETTh1,5,forecast/mse,3,8.759,plain sum at committed alpha,0.451689,0.022118,"paper projection at matched distance, thr=0.7",0.616421,0.06509,36.47,worse,0.2,1.0,1.0,0.7,,1.0,,1,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.884683,0.077013,0.8847,0.311101,0.226637,-0.573582,0.17221,,,,,
P3_order_reversal,ETTh1,5,forecast/mse,3,8.759,OPCM forward (opcm_t050),0.461242,0.021127,OPCM reversed (opcm_t050_rev),0.512954,0.035402,11.211,worse,,,,,,,,,3,1,segsweep_etth1_merge_n5,0.705769,0.41857,"('noisefloor_std_etth', 0)",0.85142,0.073562,,0.671364,0.123266,-0.180056,0.05006,,,,,
P1_paper_opcm,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,paper OPCM alpha=0.3,0.398296,0.215638,52.473,worse,0.483333,,1.181778,0.3,1.0,,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.598227,0.330617,-0.210159,0.269592,,,,,
P1_paper_opcm,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,paper OPCM alpha=0.5,0.403668,0.215758,54.53,worse,0.483333,,1.181778,0.5,1.0,,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.589991,0.330801,-0.218395,0.270139,,,,,
P1_paper_opcm,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,paper OPCM alpha=0.7,0.410493,0.213725,57.142,worse,0.483333,,1.181778,0.7,1.0,,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.579527,0.327684,-0.228859,0.26889,,,,,
P1_paper_opcm,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,simplified OPCM (1.35),0.291946,0.073943,11.761,worse,0.483333,,,,,,,,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.761283,0.11337,-0.047103,0.047131,,,,,
P4_opcm_committed,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at committed alpha, thr=0.3",0.443416,0.170798,69.746,worse,0.483333,0.966667,0.966667,0.3,0.704508,,coefficient_not_distance_matched,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.529049,0.261868,-0.279337,0.200631,,,,,
P4_opcm_committed,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at committed alpha, thr=0.5",0.470085,0.174745,79.955,worse,0.483333,0.966667,0.966667,0.5,0.630305,,coefficient_not_distance_matched,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.48816,0.26792,-0.320226,0.204473,,,,,
P4_opcm_committed,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at committed alpha, thr=0.7",0.486745,0.189895,86.333,worse,0.483333,0.966667,0.966667,0.7,0.547635,,coefficient_not_distance_matched,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.462617,0.291148,-0.345769,0.226874,,,,,
P5_opcm_distance,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at matched distance, thr=0.3",0.408699,0.170772,56.456,worse,0.483333,0.966667,0.966667,0.3,,1.0,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.582277,0.261828,-0.226109,0.198438,,,,,
P5_opcm_distance,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at matched distance, thr=0.5",0.41862,0.168795,60.253,worse,0.483333,0.966667,0.966667,0.5,,1.0,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.567066,0.258797,-0.24132,0.192223,,,,,
P5_opcm_distance,ETTh2,2,forecast/mse,3,6.741,plain sum at committed alpha,0.261224,0.045197,"paper projection at matched distance, thr=0.7",0.421624,0.172551,61.403,worse,0.483333,0.966667,0.966667,0.7,,1.0,,1,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.808386,0.069296,0.8084,0.56246,0.264556,-0.245926,0.19701,,,,,
P3_order_reversal,ETTh2,2,forecast/mse,3,6.741,OPCM forward (opcm_t050),0.291946,0.073943,OPCM reversed (opcm_t050_rev),0.286464,0.055034,-1.878,tie (inside floor),,,,,,,,,3,1,etth2_merge_n2,0.788477,0.136248,"('etth2_gate_joint', 0)",0.761283,0.11337,,0.769688,0.084378,0.008405,0.093949,,,,,
P1_paper_opcm,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,paper OPCM alpha=0.3,0.237559,0.009982,10.348,worse,0.266667,,1.421727,0.3,1.0,,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.869432,0.012865,-0.028712,0.022965,,,,,
P1_paper_opcm,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,paper OPCM alpha=0.5,0.25049,0.013365,16.355,worse,0.266667,,1.421727,0.5,1.0,,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.852767,0.017225,-0.045377,0.029891,,,,,
P1_paper_opcm,ETTh2,3,forecast/mse,3,6.741,plain sum at committed alpha,0.215281,0.018391,paper OPCM alpha=0.7,0.263722,0.012175,22.501,worse,0.266667,,1.421727,0.7,1.0,,,1,3,1,etth2_merge_n3,0.912174,0.136248,"('etth2_gate_joint', 0)",0.898144,0.023702,0.8981,0.835714,0.015691,-0.06243,0.026375,,,,,
