test,dataset,n_segments,metric,n_seeds,floor_pct,baseline_label,baseline,baseline_sd,variant_label,variant,variant_sd,delta_pct,verdict,committed_alpha,target_alpha_times_n,implied_alpha_times_n,threshold,opcm_norm_ratio,distance_ratio,confounded,alpha_n_ok,n_seeds_expected,complete,source_experiment,base,joint,joint_from,grr_baseline,grr_baseline_sd,grr_baseline_derived,grr_variant,grr_variant_sd,grr_delta,grr_delta_paired_sd,baseline_matched_seed,delta_pct_matched_seed,verdict_matched_seed,matched_seed_n,verdict_changed
P3_order_reversal,ETTh2,5,forecast/mse,3,6.741,OPCM forward (opcm_t050),0.440017,0.14225,OPCM reversed (opcm_t050_rev),0.419165,0.025727,-4.739,tie (inside floor),,,,,,,,,3,1,etth2_merge_n5,0.862824,0.136248,"('etth2_gate_joint', 0)",0.581917,0.195781,,0.610616,0.035409,0.028699,0.163621,,,,,
P1_paper_opcm,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,paper OPCM alpha=0.3,0.138915,0.008901,12.053,tie (inside floor),0.383333,,1.247121,0.3,1.0,,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.871651,0.017885,-0.030022,0.006156,,,,,
P1_paper_opcm,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,paper OPCM alpha=0.5,0.144706,0.007988,16.724,worse,0.383333,,1.247121,0.5,1.0,,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.860015,0.01605,-0.041658,0.004534,,,,,
P1_paper_opcm,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,paper OPCM alpha=0.7,0.147969,0.000835,19.356,worse,0.383333,,1.247121,0.7,1.0,,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.853458,0.001678,-0.048215,0.013711,,,,,
P1_paper_opcm,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,simplified OPCM (1.35),0.126923,0.007468,2.38,tie (inside floor),0.383333,,,,,,,,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.895746,0.015005,-0.005927,0.001787,,,,,
P4_opcm_committed,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at committed alpha, thr=0.3",0.195775,0.015458,57.917,worse,0.383333,0.766667,0.766667,0.3,0.553286,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.757402,0.03106,-0.144271,0.020051,,,,,
P4_opcm_committed,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at committed alpha, thr=0.5",0.221284,0.01314,78.494,worse,0.383333,0.766667,0.766667,0.5,0.541062,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.706147,0.026402,-0.195526,0.032238,,,,,
P4_opcm_committed,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at committed alpha, thr=0.7",0.229318,0.015243,84.974,worse,0.383333,0.766667,0.766667,0.7,0.531869,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.690005,0.030628,-0.211668,0.041121,,,,,
P5_opcm_distance,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at matched distance, thr=0.3",0.176461,0.018295,42.338,worse,0.383333,0.766667,0.766667,0.3,,1.0,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.79621,0.03676,-0.105463,0.023797,,,,,
P5_opcm_distance,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at matched distance, thr=0.5",0.197068,0.012539,58.96,worse,0.383333,0.766667,0.766667,0.5,,1.0,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.754804,0.025194,-0.146869,0.025933,,,,,
P5_opcm_distance,ETTm2,2,forecast/mse,3,14.107,plain sum at committed alpha,0.123973,0.007642,"paper projection at matched distance, thr=0.7",0.20179,0.011829,62.769,worse,0.383333,0.766667,0.766667,0.7,,1.0,,1,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.901673,0.015355,0.9017,0.745316,0.023768,-0.156357,0.031121,,,,,
P3_order_reversal,ETTm2,2,forecast/mse,3,14.107,OPCM forward (opcm_t050),0.126923,0.007468,OPCM reversed (opcm_t050_rev),0.175748,0.011532,38.468,worse,,,,,,,,,3,1,ettm2_merge_n2,0.572725,0.075037,"('ettm2_gate_joint', 0)",0.895746,0.015005,,0.797642,0.023171,-0.098104,0.010481,,,,,
P1_paper_opcm,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,paper OPCM alpha=0.3,0.155547,0.002899,38.696,worse,0.266667,,1.464387,0.3,1.0,,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.840176,0.005755,-0.086152,0.020564,,,,,
P1_paper_opcm,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,paper OPCM alpha=0.5,0.15029,0.005895,34.008,worse,0.266667,,1.464387,0.5,1.0,,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.850612,0.011702,-0.075716,0.031084,,,,,
P1_paper_opcm,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,paper OPCM alpha=0.7,0.150367,0.010149,34.077,worse,0.266667,,1.464387,0.7,1.0,,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.850459,0.020147,-0.075869,0.03874,,,,,
P1_paper_opcm,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,simplified OPCM (1.35),0.118573,0.018187,5.728,tie (inside floor),0.266667,,,,,,,,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.913575,0.036104,-0.012753,0.011019,,,,,
P4_opcm_committed,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at committed alpha, thr=0.3",0.248451,0.058288,121.536,worse,0.266667,0.8,0.8,0.3,0.426401,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.655749,0.11571,-0.270579,0.09055,,,,,
P4_opcm_committed,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at committed alpha, thr=0.5",0.27721,0.073203,147.179,worse,0.266667,0.8,0.8,0.5,0.39829,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.598658,0.145318,-0.32767,0.120093,,,,,
P4_opcm_committed,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at committed alpha, thr=0.7",0.291601,0.076435,160.011,worse,0.266667,0.8,0.8,0.7,0.377404,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.57009,0.151734,-0.356238,0.126815,,,,,
P5_opcm_distance,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at matched distance, thr=0.3",0.200319,0.041699,78.617,worse,0.266667,0.8,0.8,0.3,,1.0,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.751298,0.082778,-0.17503,0.057637,,,,,
P5_opcm_distance,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at matched distance, thr=0.5",0.21608,0.054215,92.672,worse,0.266667,0.8,0.8,0.5,,1.0,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.72001,0.107624,-0.206318,0.082491,,,,,
P5_opcm_distance,ETTm2,3,forecast/mse,3,14.107,plain sum at committed alpha,0.112149,0.013002,"paper projection at matched distance, thr=0.7",0.221335,0.05406,97.357,worse,0.266667,0.8,0.8,0.7,,1.0,,1,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.926328,0.025811,0.9263,0.709578,0.107317,-0.21675,0.082842,,,,,
P3_order_reversal,ETTm2,3,forecast/mse,3,14.107,OPCM forward (opcm_t050),0.118573,0.018187,OPCM reversed (opcm_t050_rev),0.182963,0.03954,54.304,worse,,,,,,,,,3,1,ettm2_merge_n3,0.57878,0.075037,"('ettm2_gate_joint', 0)",0.913575,0.036104,,0.785752,0.078492,-0.127823,0.04335,,,,,
P1_paper_opcm,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,paper OPCM alpha=0.3,0.210706,0.017749,52.109,worse,0.15,,1.68052,0.3,1.0,,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.72562,0.035896,-0.145985,0.020961,,,,,
P1_paper_opcm,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,paper OPCM alpha=0.5,0.221413,0.017596,59.838,worse,0.15,,1.68052,0.5,1.0,,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.703966,0.035587,-0.167639,0.027439,,,,,
P1_paper_opcm,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,paper OPCM alpha=0.7,0.226191,0.016884,63.287,worse,0.15,,1.68052,0.7,1.0,,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.694303,0.034147,-0.177302,0.033079,,,,,
P1_paper_opcm,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,simplified OPCM (1.35),0.154607,0.005676,11.611,tie (inside floor),0.15,,,,,,,,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.839076,0.011479,-0.032529,0.023935,,,,,
P4_opcm_committed,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at committed alpha, thr=0.3",0.330343,0.030757,138.474,worse,0.15,0.75,0.75,0.3,0.293171,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.483664,0.062204,-0.387941,0.064379,,,,,
P4_opcm_committed,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at committed alpha, thr=0.5",0.361765,0.037552,161.158,worse,0.15,0.75,0.75,0.5,0.264439,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.420115,0.075946,-0.45149,0.076101,,,,,
P4_opcm_committed,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at committed alpha, thr=0.7",0.371306,0.036496,168.045,worse,0.15,0.75,0.75,0.7,0.243672,,coefficient_not_distance_matched,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.400819,0.07381,-0.470786,0.074986,,,,,
P5_opcm_distance,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at matched distance, thr=0.3",0.248201,0.022916,79.176,worse,0.15,0.75,0.75,0.3,,1.0,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.64979,0.046346,-0.221815,0.036956,,,,,
P5_opcm_distance,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at matched distance, thr=0.5",0.265154,0.031562,91.415,worse,0.15,0.75,0.75,0.5,,1.0,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.615503,0.063832,-0.256102,0.051529,,,,,
P5_opcm_distance,ETTm2,5,forecast/mse,3,14.107,plain sum at committed alpha,0.138523,0.008026,"paper projection at matched distance, thr=0.7",0.26167,0.030028,88.9,worse,0.15,0.75,0.75,0.7,,1.0,,1,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.871605,0.016232,0.8716,0.62255,0.060729,-0.249055,0.047194,,,,,
P3_order_reversal,ETTm2,5,forecast/mse,3,14.107,OPCM forward (opcm_t050),0.154607,0.005676,OPCM reversed (opcm_t050_rev),0.230887,0.016588,49.338,worse,,,,,,,,,3,1,ettm2_merge_n5,0.569494,0.075037,"('ettm2_gate_joint', 0)",0.839076,0.011479,,0.684806,0.033548,-0.15427,0.03108,,,,,
P1_paper_opcm,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,paper OPCM alpha=0.3,0.248646,0.032635,-2.651,tie (inside floor),0.7,,1.254936,0.3,1.0,,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.417919,0.092775,0.019245,0.035373,,,,,
P1_paper_opcm,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,paper OPCM alpha=0.5,0.332583,0.042549,30.212,worse,0.7,,1.254936,0.5,1.0,,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.179302,0.120959,-0.219372,0.091887,,,,,
P1_paper_opcm,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,paper OPCM alpha=0.7,0.424595,0.026581,66.236,worse,0.7,,1.254936,0.7,1.0,,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,0.917729,0.075565,-0.480945,0.018495,,,,,
P1_paper_opcm,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,simplified OPCM (1.35),0.227614,0.013079,-10.885,better,0.7,,,,,,,,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.477709,0.037181,0.079035,0.028406,,,,,
P4_opcm_committed,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at committed alpha, thr=0.3",0.291363,0.034877,14.074,worse,0.7,1.4,1.4,0.3,0.818581,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.296483,0.099149,-0.102191,0.043931,,,,,
P4_opcm_committed,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at committed alpha, thr=0.5",0.4032,0.029046,57.86,worse,0.7,1.4,1.4,0.5,0.705486,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,0.978551,0.082572,-0.420123,0.028013,,,,,
P4_opcm_committed,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at committed alpha, thr=0.7",0.512036,0.024078,100.471,worse,0.7,1.4,1.4,0.7,0.617029,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,0.66915,0.068449,-0.729524,0.028205,,,,,
P5_opcm_distance,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at matched distance, thr=0.3",0.235745,0.032952,-7.702,better,0.7,1.4,1.4,0.3,,1.0,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.454595,0.093676,0.055921,0.046557,,,,,
P5_opcm_distance,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at matched distance, thr=0.5",0.319698,0.050902,25.167,worse,0.7,1.4,1.4,0.5,,1.0,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,1.215932,0.144705,-0.182742,0.121297,,,,,
P5_opcm_distance,exchange,2,forecast/mse,3,5.73,plain sum at committed alpha,0.255416,0.020567,"paper projection at matched distance, thr=0.7",0.408461,0.029727,59.92,worse,0.7,1.4,1.4,0.7,,1.0,,1,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.398674,0.058468,1.3987,0.963595,0.084508,-0.435079,0.032304,,,,,
P3_order_reversal,exchange,2,forecast/mse,3,5.73,OPCM forward (opcm_t050),0.227614,0.013079,OPCM reversed (opcm_t050_rev),0.257774,0.022407,13.251,worse,,,,,,,,,3,1,segsweep_exchange_merge_n2,0.747419,0.395655,"('exch_gate_standard', 0)",1.477709,0.037181,,1.39197,0.063699,-0.085739,0.028824,,,,,
P1_paper_opcm,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,paper OPCM alpha=0.3,0.306954,0.031534,-15.341,better,0.55,,1.376939,0.3,1.0,,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.274656,0.099499,0.175513,0.144132,,,,,
P1_paper_opcm,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,paper OPCM alpha=0.5,0.387988,0.019745,7.008,worse,0.55,,1.376939,0.5,1.0,,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.01897,0.062301,-0.080173,0.207867,,,,,
P1_paper_opcm,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,paper OPCM alpha=0.7,0.454042,0.011228,25.226,worse,0.55,,1.376939,0.7,1.0,,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,0.810549,0.035428,-0.288594,0.221151,,,,,
P1_paper_opcm,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,simplified OPCM (1.35),0.311154,0.052565,-14.183,better,0.55,,,,,,,,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.261404,0.165858,0.162261,0.043899,,,,,
P4_opcm_committed,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at committed alpha, thr=0.3",0.358086,0.033084,-1.239,tie (inside floor),0.55,1.65,1.65,0.3,0.811498,,coefficient_not_distance_matched,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.113319,0.10439,0.014176,0.144022,,,,,
P4_opcm_committed,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at committed alpha, thr=0.5",0.469796,0.019593,29.571,worse,0.55,1.65,1.65,0.5,0.675612,,coefficient_not_distance_matched,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,0.760841,0.061822,-0.338302,0.202869,,,,,
P4_opcm_committed,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at committed alpha, thr=0.7",0.543318,0.012076,49.848,worse,0.55,1.65,1.65,0.7,0.561521,,coefficient_not_distance_matched,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,0.528857,0.038103,-0.570286,0.205925,,,,,
P5_opcm_distance,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at matched distance, thr=0.3",0.272056,0.027927,-24.966,better,0.55,1.65,1.65,0.3,,1.0,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.38477,0.088118,0.285627,0.131539,,,,,
P5_opcm_distance,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at matched distance, thr=0.5",0.351704,0.01822,-2.999,tie (inside floor),0.55,1.65,1.65,0.5,,1.0,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,1.133457,0.05749,0.034314,0.2141,,,,,
P5_opcm_distance,exchange,3,forecast/mse,3,5.73,plain sum at committed alpha,0.362579,0.065738,"paper projection at matched distance, thr=0.7",0.426588,0.009806,17.654,worse,0.55,1.65,1.65,0.7,,1.0,,1,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.099143,0.207423,1.0991,0.897175,0.030941,-0.201968,0.223184,,,,,
P3_order_reversal,exchange,3,forecast/mse,3,5.73,OPCM forward (opcm_t050),0.311154,0.052565,OPCM reversed (opcm_t050_rev),0.34123,0.05877,9.666,worse,,,,,,,,,3,1,selalpha_exchange_n3,0.710927,0.394,"('origin_exchange_joint_f10', 0)",1.261404,0.165858,,1.166505,0.185437,-0.094899,0.020728,,,,,
P1_paper_opcm,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,paper OPCM alpha=0.3,0.423281,0.019211,29.422,worse,0.3,,1.562515,0.3,1.0,,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.909621,0.062849,-0.314806,0.084888,,,,,
P1_paper_opcm,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,paper OPCM alpha=0.5,0.49773,0.016919,52.186,worse,0.3,,1.562515,0.5,1.0,,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.666058,0.055351,-0.558369,0.086759,,,,,
P1_paper_opcm,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,paper OPCM alpha=0.7,0.55177,0.009026,68.709,worse,0.3,,1.562515,0.7,1.0,,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.489264,0.029529,-0.735163,0.099056,,,,,
P1_paper_opcm,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,simplified OPCM (1.35),0.352235,0.021954,7.699,worse,0.3,,,,,,,,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,1.14205,0.071823,-0.082377,0.023907,,,,,
P4_opcm_committed,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at committed alpha, thr=0.3",0.545068,0.010954,66.66,worse,0.3,1.5,1.5,0.3,0.500217,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.51119,0.035836,-0.713237,0.102146,,,,,
P4_opcm_committed,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at committed alpha, thr=0.5",0.60802,0.009132,85.908,worse,0.3,1.5,1.5,0.5,0.414387,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.305241,0.029876,-0.919186,0.112265,,,,,
P4_opcm_committed,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at committed alpha, thr=0.7",0.640579,0.011851,95.863,worse,0.3,1.5,1.5,0.7,0.363999,,coefficient_not_distance_matched,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.198723,0.038771,-1.025704,0.127798,,,,,
P5_opcm_distance,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at matched distance, thr=0.3",0.431646,0.016826,31.98,worse,0.3,1.5,1.5,0.3,,1.0,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.882254,0.055047,-0.342173,0.087482,,,,,
P5_opcm_distance,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at matched distance, thr=0.5",0.504449,0.014728,54.24,worse,0.3,1.5,1.5,0.5,,1.0,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.644077,0.048183,-0.58035,0.089607,,,,,
P5_opcm_distance,exchange,5,forecast/mse,3,5.73,plain sum at committed alpha,0.327055,0.028188,"paper projection at matched distance, thr=0.7",0.55667,0.008295,70.207,worse,0.3,1.5,1.5,0.7,,1.0,,1,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.224427,0.092218,1.2244,0.473234,0.027137,-0.751193,0.103279,,,,,
P3_order_reversal,exchange,5,forecast/mse,3,5.73,OPCM forward (opcm_t050),0.352235,0.021954,OPCM reversed (opcm_t050_rev),0.365068,0.021103,3.643,tie (inside floor),,,,,,,,,3,1,segsweep_exchange_merge_n5,0.701322,0.395655,"('exch_gate_standard', 0)",1.14205,0.071823,,1.100066,0.069039,-0.041984,0.057446,,,,,
P1_paper_opcm,SWaT,2,window_auroc,3,0.087,plain sum at committed alpha,0.8044,0.000985,paper OPCM alpha=0.3,0.799202,0.001589,0.646,worse,1.0,,1.062605,0.3,1.0,,,1,3,1,segsweep_swat_merge_n2,0.799784,0.80784,"('noisefloor_std_swat', 0)",0.572989,0.122269,0.573,-0.072244,0.197244,-0.645233,0.121612,0.804404,0.647,worse,3,False
P1_paper_opcm,SWaT,2,window_auroc,3,0.087,plain sum at committed alpha,0.8044,0.000985,paper OPCM alpha=0.5,0.799167,0.001516,0.651,worse,1.0,,1.062605,0.5,1.0,,,1,3,1,segsweep_swat_merge_n2,0.799784,0.80784,"('noisefloor_std_swat', 0)",0.572989,0.122269,0.573,-0.076589,0.188183,-0.649578,0.108509,0.804404,0.651,worse,3,False
P1_paper_opcm,SWaT,2,window_auroc,3,0.087,plain sum at committed alpha,0.8044,0.000985,paper OPCM alpha=0.7,0.799195,0.001465,0.647,worse,1.0,,1.062605,0.7,1.0,,,1,3,1,segsweep_swat_merge_n2,0.799784,0.80784,"('noisefloor_std_swat', 0)",0.572989,0.122269,0.573,-0.073113,0.181852,-0.646102,0.103618,0.804404,0.648,worse,3,False
