i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.41302528458432675,1
0,2,0.24720984097169074,2
0,3,0.10385133766703021,3
0,4,0.06576985946537511,4
1,0,0.41302528458432675,1
1,1,1.0,0
1,2,0.34999047154687046,1
1,3,0.12112009712016851,2
1,4,0.11703556598999852,3
2,0,0.24720984097169074,2
2,1,0.34999047154687046,1
2,2,1.0,0
2,3,0.1821700269689937,1
2,4,0.21869778682808114,2
3,0,0.10385133766703021,3
3,1,0.12112009712016851,2
3,2,0.1821700269689937,1
3,3,1.0,0
3,4,0.5112004207073125,1
4,0,0.06576985946537511,4
4,1,0.11703556598999852,3
4,2,0.21869778682808114,2
4,3,0.5112004207073125,1
4,4,1.0,0
