dataset,n_segments,metric,rule,protocol,n_seeds,n_seeds_expected,floor_pct,value,value_sd,ta_value,delta_pct,delta_paired_sd,margin_ratio,borderline,verdict,alpha_mean,alpha_values,alpha_at_edge,oracle_value,oracle_alpha_values,distance,ta_distance,grr,grr_ta,grr_delta,source_experiment
PSM,2,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.068,0.800377645396895,0.0010731553940315393,0.8041249497574965,-0.4660102092008879,0.07907483025473108,6.853091311777763,False,worse,1.871793145572276,1.8851 1.86622 1.86405,False,0.801794495809587,2 2 3,1.1418603333333335,1.1418603333333335,1.019823,1.159284,-0.139461,segsweep_psm_merge_n2
PSM,2,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7846944074238872,0.0017196033406979797,0.8041249497574965,-2.416358594453394,0.26715040015688624,35.53468521254991,False,worse,2.8215550510879055,2.81495 2.79848 2.85123,False,0.7906519194041417,5 5 5,1.1418603333333335,1.1418603333333335,0.436152,1.159284,-0.723131,segsweep_psm_merge_n2
PSM,2,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.068,0.8002320181759122,0.0015219946098558109,0.8041249497574965,-0.48412023315012587,0.11631191504804392,7.119415193384204,False,worse,1.1828592061492402,1.18708 1.18105 1.18044,False,0.8055923908090588,2 2 3,1.1418603333333335,1.1418603333333335,1.014403,1.159284,-0.14488,segsweep_psm_merge_n2
PSM,3,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.068,0.8004519815816854,0.0019461767379056066,0.8004519815816854,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.8004519815816854,1 1 1,1.1759563333333334,1.1759563333333334,1.023657,1.023657,0.0,noisefloor_psm
PSM,3,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.068,0.8005636955982803,0.0014375425915453697,0.8004519815816854,0.013956367048300238,0.3595300253197332,0.2052406918867682,False,tie,0.6591562879599044,0.662299 0.662433 0.652737,False,0.8007421941142866,1 1 1,1.1759563333333334,1.1759563333333334,1.028011,1.023657,0.004354,noisefloor_psm
PSM,3,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.068,0.8038728881738114,0.0021525934800036375,0.8004519815816854,0.4273718687492456,0.22572755418604368,6.284880422783023,False,better,2.3746961425573745,2.38436 2.39583 2.3439,False,0.8042044161701835,2 2 3,1.1759563333333334,1.1759563333333334,1.156984,1.023657,0.133327,noisefloor_psm
PSM,3,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7847186636944814,0.0007704851020091253,0.8004519815816854,-1.9655542430059474,0.22063481334959936,28.905209455969814,False,worse,2.9673562208785835,2.94266 3.00575 2.95366,False,0.7884598444982398,5 5 5,1.1759563333333334,1.1759563333333334,0.410463,1.023657,-0.613193,noisefloor_psm
PSM,3,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.068,0.796772080660232,0.001411963476218591,0.8004519815816854,-0.4597278795140189,0.37241041342673487,6.760704110500277,False,worse,1.3411305283576072,1.34683 1.35182 1.32474,False,0.8024376611756092,2 2 3,1.1759563333333334,1.1759563333333334,0.880235,1.023657,-0.143421,noisefloor_psm
PSM,5,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7943708894541085,0.004819012755654386,0.7943708894541085,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.7968773844858209,0.5 0.5 1,1.2102626666666667,1.2102626666666667,0.77315,0.77315,0.0,segsweep_psm_merge_n5
PSM,5,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7999256955621735,0.0024380155803879846,0.7943708894541085,0.6992711064578772,0.30839293962433784,10.283398624380546,False,better,0.6989939445552508,0.692863 0.709637 0.694482,False,0.7973513044024827,0.5 0.5 1,1.2102626666666667,1.2102626666666667,1.003344,0.77315,0.230194,segsweep_psm_merge_n5
PSM,5,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7976537329223946,0.005740059680575305,0.7943708894541085,0.41326331463909527,1.0371905139901354,6.077401685869048,False,better,3.0685287258864684,3.01087 3.11834 3.07637,False,0.7986969245772298,2 3 3,1.2102626666666667,1.2102626666666667,0.909193,0.77315,0.136043,segsweep_psm_merge_n5
PSM,5,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7839919480577177,0.0028819471947394543,0.7943708894541085,-1.3065611459557946,0.5581734256098363,19.21413449934992,False,worse,3.1161172877890237,3.06416 3.13587 3.14832,False,0.7859521519252849,5 5 5,1.2102626666666667,1.2102626666666667,0.343042,0.77315,-0.430108,segsweep_psm_merge_n5
PSM,5,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.068,0.792415689854432,0.001310200158770771,0.7943708894541085,-0.24613182905281264,0.5831279959315314,3.6195857213648917,False,worse,1.5025585136221513,1.47539 1.54827 1.48402,False,0.8030768064877986,3 3 3,1.2102626666666667,1.2102626666666667,0.692126,0.77315,-0.081024,segsweep_psm_merge_n5
PSM-forecast,2,forecast/mse,ta,val-selected alpha,3,3,1.157,0.36541034777959186,0.038490203433361916,0.36541034777959186,0.0,0.0,0.0,False,control,0.5,0.5 0.5 0.5,False,0.36541034777959186,0.5 0.5 0.5,4.285762,4.285762,0.725779,0.725779,0.0,adfc2_psm_merge_n2
PSM-forecast,2,forecast/mse,dare,val-selected alpha,3,3,1.157,0.3868483603000641,0.024222646989173834,0.36541034777959186,5.866832357304562,3.9103406497042044,5.0707280529857925,False,worse,0.5,0.5 0.5 0.5,False,0.3868483603000641,0.5 0.5 0.5,7.433216666666667,4.285762,0.632797,0.725779,-0.092982,adfc2_psm_merge_n2
PSM-forecast,2,forecast/mse,ties,val-selected alpha,3,3,1.157,0.42371275027592975,0.015651942211633036,0.36541034777959186,15.955323337341481,8.25589727757308,13.790253532706553,False,worse,1.1666666666666667,1 1 1.5,False,0.42371275027592975,1 1 1.5,6.729747333333333,4.285762,0.472906,0.725779,-0.252873,adfc2_psm_merge_n2
PSM-forecast,2,forecast/mse,iso_c,val-selected alpha,3,3,1.157,0.3824724853038788,0.02975588177162363,0.36541034777959186,4.669308799809484,7.832645655027488,4.035703370621853,False,worse,1.8333333333333333,1 1.5 3,True,0.3667910893758138,2 2 3,7.2002603333333335,4.285762,0.651776,0.725779,-0.074003,adfc2_psm_merge_n2
PSM-forecast,2,forecast/mse,tsv,val-selected alpha,3,3,1.157,0.3873481551806132,0.027470057512628304,0.36541034777959186,6.003608692070702,4.598017133465481,5.188944418384358,False,worse,0.9,0.7 1 1,False,0.3864326278368632,1 1 1,6.893169333333333,4.285762,0.630629,0.725779,-0.09515,adfc2_psm_merge_n2
PSM-forecast,3,forecast/mse,ta,val-selected alpha,3,3,1.157,0.39513994256655377,0.006826375572394126,0.39513994256655377,0.0,0.0,0.0,False,control,0.3,0.3 0.3 0.3,False,0.39344436923662823,0.3 0.5 0.3,2.717999666666666,2.717999666666666,0.570973,0.570973,0.0,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,dare,val-selected alpha,3,3,1.157,0.40411463379859924,0.003919621135926564,0.39513994256655377,2.2712690531238455,0.9194057803790041,1.9630674616455017,False,worse,0.3,0.3 0.3 0.3,False,0.40411463379859924,0.3 0.3 0.3,4.598143666666666,2.717999666666666,0.52955,0.570973,-0.041423,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,ties,val-selected alpha,3,3,1.157,0.431921790043513,0.0028555138547491812,0.39513994256655377,9.308562236976089,2.244913350659136,8.045429764024277,False,worse,1.0,1 1 1,False,0.431921790043513,1 1 1,6.092267666666667,2.717999666666666,0.401207,0.570973,-0.169766,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,iso_c,val-selected alpha,3,3,1.157,0.3976229429244995,0.01687329659067802,0.39513994256655377,0.6283850581689873,3.2449714302326136,0.5431158670432041,False,tie,1.3333333333333333,1 1.5 1.5,False,0.385123074054718,1.5 2 2,6.669380666666666,2.717999666666666,0.559512,0.570973,-0.01146,adfc2_psm_merge_n3
PSM-forecast,3,forecast/mse,tsv,val-selected alpha,3,3,1.157,0.4076262911160787,0.0006581182885692962,0.39513994256655377,3.159981364683683,1.590252761530784,2.731185276303961,False,worse,0.6999999999999998,0.7 0.7 0.7,False,0.4049530526002248,1 1 1,5.601492,2.717999666666666,0.513342,0.570973,-0.057631,adfc2_psm_merge_n3
PSM-forecast,5,forecast/mse,ta,val-selected alpha,3,3,1.157,0.4035602807998657,0.0055963159565728254,0.4035602807998657,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,0.40211687485376996,0.3 0.3 0.2,2.5824293333333332,2.5824293333333332,0.518263,0.518263,0.0,adfc2_psm_merge_n5
PSM-forecast,5,forecast/mse,dare,val-selected alpha,3,3,1.157,0.4073295096556346,0.008280594303210525,0.4035602807998657,0.9339940115757082,0.7324166227989712,0.8072549797542853,False,tie,0.20000000000000004,0.2 0.2 0.2,False,0.4073295096556346,0.2 0.2 0.2,4.1293809999999995,2.5824293333333332,0.500352,0.518263,-0.017912,adfc2_psm_merge_n5
PSM-forecast,5,forecast/mse,ties,val-selected alpha,3,3,1.157,0.449421763420105,0.01100838843169513,0.4035602807998657,11.36422110950581,1.9219773827719786,9.822144433453595,False,worse,0.5666666666666667,0.7 0.5 0.5,False,0.44623517990112305,1 0.5 0.7,4.127854666666667,2.5824293333333332,0.300327,0.518263,-0.217937,adfc2_psm_merge_n5
PSM-forecast,5,forecast/mse,iso_c,val-selected alpha,3,3,1.157,0.4062180519104004,0.015014648917920235,0.4035602807998657,0.6585809449004507,2.4446874981088538,0.5692142998275287,False,tie,0.7999999999999999,1 0.7 0.7,False,0.39890692631403607,1.5 1 1,5.830101333333334,2.5824293333333332,0.505633,0.518263,-0.01263,adfc2_psm_merge_n5
PSM-forecast,5,forecast/mse,tsv,val-selected alpha,3,3,1.157,0.41692517201105755,0.012604255213870968,0.4035602807998657,3.311745939095471,2.189658367821306,2.8623560407048148,False,worse,0.6333333333333333,0.7 0.7 0.5,False,0.4133144021034241,0.7 0.7 0.7,6.512352333333333,2.5824293333333332,0.454752,0.518263,-0.063511,adfc2_psm_merge_n5
SWaT-forecast,2,forecast/mse,ta,val-selected alpha,3,3,84.232,14.864910443623861,18.061554303037326,14.864910443623861,0.0,0.0,0.0,False,control,0.5,0.5 0.5 0.5,False,3.929804722468058,2 1.5 0.7,6.415838666666667,6.415838666666667,0.682023,0.682023,0.0,adfc2_swat_merge_n2
SWaT-forecast,2,forecast/mse,dare,val-selected alpha,3,3,84.232,15.35641860961914,18.515309620657913,14.864910443623861,3.306499341919052,3.1620684294939285,0.039254669744503895,False,tie,0.43333333333333335,0.5 0.3 0.5,False,4.033130327860515,2 1.5 0.7,9.319757333333333,6.415838666666667,0.616187,0.682023,-0.065836,adfc2_swat_merge_n2
SWaT-forecast,2,forecast/mse,ties,val-selected alpha,3,3,84.232,17.542219241460163,21.58511332487445,14.864910443623861,18.010931232920438,23.73715702374688,0.21382528294377953,False,tie,0.6999999999999998,0.7 0.7 0.7,False,8.569470961888632,3 3 1,5.922775666666666,6.415838666666667,0.323407,0.682023,-0.358616,adfc2_swat_merge_n2
SWaT-forecast,2,forecast/mse,iso_c,val-selected alpha,3,3,84.232,15.688417593638102,19.905664703214207,14.864910443623861,5.53994020439911,12.785432350304497,0.06577001857250345,False,tie,1.0,1 1 1,False,5.613877534866333,3 3 3,8.274994999999999,6.415838666666667,0.571717,0.682023,-0.110306,adfc2_swat_merge_n2
SWaT-forecast,2,forecast/mse,tsv,val-selected alpha,3,3,84.232,17.05914568901062,21.041406922590557,14.864910443623861,14.761173662690661,20.058360064715075,0.1752442499607116,False,tie,0.5,0.5 0.5 0.5,False,4.372450590133667,3 2 1,5.5389246666666665,6.415838666666667,0.388113,0.682023,-0.29391,adfc2_swat_merge_n2
SWaT-forecast,3,forecast/mse,ta,val-selected alpha,3,3,84.232,4.74668025970459,3.2383167712136887,4.74668025970459,0.0,0.0,0.0,False,control,0.3,0.3 0.3 0.3,False,2.888683001200358,1 1 1,3.685986666666667,3.685986666666667,-0.240774,-0.240774,0.0,adfc2_swat_merge_n3
SWaT-forecast,3,forecast/mse,dare,val-selected alpha,3,3,84.232,4.704156080881755,3.2025186614825656,4.74668025970459,-0.8958719883416265,0.781867389119926,0.010635767740782915,False,tie,0.3,0.3 0.3 0.3,False,2.8389288584391275,1 1 0.7,5.433556666666667,3.685986666666667,-0.247587,-0.240774,-0.006813,adfc2_swat_merge_n3
SWaT-forecast,3,forecast/mse,ties,val-selected alpha,3,3,84.232,4.694290240605672,3.3036132633371835,4.74668025970459,-1.1037191517546716,2.465159372019385,0.013103323579573934,False,tie,0.7999999999999999,0.7 1 0.7,False,2.535706043243408,3 3 3,4.602389333333334,3.685986666666667,-0.249168,-0.240774,-0.008394,adfc2_swat_merge_n3
SWaT-forecast,3,forecast/mse,iso_c,val-selected alpha,3,3,84.232,4.4727474848429365,2.7656655964242,4.74668025970459,-5.771039123640099,9.958846153747487,0.06851361862047796,False,tie,0.9,0.7 1 1,False,2.6517805258433023,3 3 3,6.234412666666667,3.685986666666667,-0.284663,-0.240774,-0.043889,adfc2_swat_merge_n3
SWaT-forecast,3,forecast/mse,tsv,val-selected alpha,3,3,84.232,4.676638126373291,3.018995312614484,4.74668025970459,-1.475602515844577,4.777695876944821,0.017518312705914342,False,tie,0.6333333333333333,0.7 0.5 0.7,False,2.6709064642588296,3 2 3,5.423541333333333,3.685986666666667,-0.251996,-0.240774,-0.011222,adfc2_swat_merge_n3
SWaT-forecast,5,forecast/mse,ta,val-selected alpha,3,3,84.232,4.920468886693318,3.128853549440977,4.920468886693318,0.0,0.0,0.0,False,control,0.20000000000000004,0.2 0.2 0.2,False,3.265432119369507,1 0.5 0.3,4.718391333333333,4.718391333333333,-0.25335,-0.25335,0.0,adfc2_swat_merge_n5
SWaT-forecast,5,forecast/mse,dare,val-selected alpha,3,3,84.232,4.821657657623291,2.8882949961119926,4.920468886693318,-2.0081669317582262,5.105720789350673,0.023840902884393417,False,tie,0.20000000000000004,0.2 0.2 0.2,False,3.1866645018259683,0.7 0.5 0.3,6.606442333333334,4.718391333333333,-0.269709,-0.25335,-0.016359,adfc2_swat_merge_n5
SWaT-forecast,5,forecast/mse,ties,val-selected alpha,3,3,84.232,5.006436824798584,3.253080208275109,4.920468886693318,1.7471493080212983,2.5613980590923435,0.02074210879501019,False,tie,0.6999999999999998,0.7 0.7 0.7,False,3.0266928672790527,3 2 1,6.234930333333334,4.718391333333333,-0.239117,-0.25335,0.014233,adfc2_swat_merge_n5
SWaT-forecast,5,forecast/mse,iso_c,val-selected alpha,3,3,84.232,4.614987293879191,2.350717895982771,4.920468886693318,-6.208383791232922,15.964240468404986,0.07370576255144033,False,tie,0.5666666666666667,0.7 0.5 0.5,False,3.206420580546061,3 1 0.1,7.949044000000001,4.718391333333333,-0.303924,-0.25335,-0.050574,adfc2_swat_merge_n5
SWaT-forecast,5,forecast/mse,tsv,val-selected alpha,3,3,84.232,4.988196055094401,3.121568637891474,4.920468886693318,1.3764372859716902,1.4558422652602525,0.016341025809332443,False,tie,0.5666666666666667,0.7 0.5 0.5,False,3.1160910924275718,3 1.5 1.5,7.831424000000001,4.718391333333333,-0.242137,-0.25335,0.011213,adfc2_swat_merge_n5
