dataset,n_segments,seed,rule,metric,alpha,value,oracle_alpha,oracle_value,distance,source_experiment,run
ETTh1,5,7,ta,forecast/mse,0.2,0.43685728311538696,0.3,0.42287343740463257,0.682161,segsweep_etth1_merge_n5,79918
ETTh1,5,7,dare,forecast/mse,0.2,0.43734216690063477,0.3,0.42267102003097534,1.098638,segsweep_etth1_merge_n5,79918
ETTh1,5,7,ties,forecast/mse,0.5,0.5331457853317261,1.5,0.4586822986602783,0.919619,segsweep_etth1_merge_n5,79918
ETTh1,5,7,iso_c,forecast/mse,1.0,0.4579841196537018,2.0,0.41972050070762634,1.861373,segsweep_etth1_merge_n5,79918
ETTh1,5,7,tsv,forecast/mse,0.7,0.44338753819465637,1.0,0.41834375262260437,1.904504,segsweep_etth1_merge_n5,79918
ETTh2,2,123,ta,forecast/mse,0.7,0.29629746079444885,0.7,0.29629746079444885,2.501194,etth2_merge_n2,80547
ETTh2,2,123,dare,forecast/mse,0.7,0.3003566265106201,0.7,0.3003566265106201,4.527374,etth2_merge_n2,80547
ETTh2,2,123,ties,forecast/mse,1.5,0.7414652109146118,1.5,0.7414652109146118,4.47988,etth2_merge_n2,80547
ETTh2,2,123,iso_c,forecast/mse,3.0,0.3564327359199524,3.0,0.3564327359199524,5.530479,etth2_merge_n2,80547
ETTh2,2,123,tsv,forecast/mse,1.0,0.36663100123405457,1.5,0.3109383285045624,3.527826,etth2_merge_n2,80547
ETTh2,2,42,ta,forecast/mse,0.5,0.21853740513324738,0.5,0.21853740513324738,2.376688,etth2_merge_n2,80548
ETTh2,2,42,dare,forecast/mse,0.5,0.2185496687889099,0.5,0.2185496687889099,4.110056,etth2_merge_n2,80548
ETTh2,2,42,ties,forecast/mse,1.0,0.5612596869468689,1.0,0.5612596869468689,3.516717,etth2_merge_n2,80548
ETTh2,2,42,iso_c,forecast/mse,3.0,0.23709887266159058,3.0,0.23709887266159058,7.050183,etth2_merge_n2,80548
ETTh2,2,42,tsv,forecast/mse,0.7,0.25427311658859253,1.0,0.22387826442718506,3.073694,etth2_merge_n2,80548
ETTh2,2,7,ta,forecast/mse,0.3,0.25656381249427795,0.5,0.23834393918514252,1.908424,etth2_merge_n2,80549
ETTh2,2,7,dare,forecast/mse,0.3,0.26355865597724915,0.5,0.25750187039375305,3.355494,etth2_merge_n2,80549
ETTh2,2,7,ties,forecast/mse,0.7,0.5168231725692749,1.0,0.4537478983402252,3.334948,etth2_merge_n2,80549
ETTh2,2,7,iso_c,forecast/mse,1.5,0.29847654700279236,3.0,0.1931658387184143,4.856514,etth2_merge_n2,80549
ETTh2,2,7,tsv,forecast/mse,0.5,0.29611074924468994,0.7,0.24006342887878418,3.000803,etth2_merge_n2,80549
ETTh2,3,123,ta,forecast/mse,0.3,0.19198015332221985,0.3,0.19198015332221985,1.689916,etth2_merge_n3,80550
ETTh2,3,123,dare,forecast/mse,0.3,0.1991986781358719,0.3,0.1991986781358719,2.73415,etth2_merge_n3,80550
ETTh2,3,123,ties,forecast/mse,1.0,0.4870092272758484,1.5,0.4051350951194763,3.362165,etth2_merge_n3,80550
ETTh2,3,123,iso_c,forecast/mse,2.0,0.299443781375885,3.0,0.18744604289531708,5.699927,etth2_merge_n3,80550
ETTh2,3,123,tsv,forecast/mse,0.7,0.23430350422859192,1.0,0.1992325484752655,3.257195,etth2_merge_n3,80550
ETTh2,3,42,ta,forecast/mse,0.3,0.194571852684021,0.3,0.194571852684021,2.281406,etth2_merge_n3,80551
ETTh2,3,42,dare,forecast/mse,0.3,0.19670583307743073,0.3,0.19670583307743073,3.765566,etth2_merge_n3,80551
ETTh2,3,42,ties,forecast/mse,1.0,0.4005018472671509,1.5,0.34069254994392395,4.72731,etth2_merge_n3,80551
ETTh2,3,42,iso_c,forecast/mse,1.5,0.2746918201446533,2.0,0.19653572142124176,5.77403,etth2_merge_n3,80551
ETTh2,3,42,tsv,forecast/mse,0.7,0.21158923208713531,0.7,0.21158923208713531,4.519922,etth2_merge_n3,80551
ETTh2,3,7,ta,forecast/mse,0.3,0.19228363037109375,0.3,0.19228363037109375,1.810779,etth2_merge_n3,80552
ETTh2,3,7,dare,forecast/mse,0.3,0.19230486452579498,0.3,0.19230486452579498,2.903158,etth2_merge_n3,80552
ETTh2,3,7,ties,forecast/mse,1.0,0.3932400047779083,1.5,0.3384346067905426,3.503646,etth2_merge_n3,80552
ETTh2,3,7,iso_c,forecast/mse,3.0,0.20026737451553345,3.0,0.20026737451553345,8.867207,etth2_merge_n3,80552
ETTh2,3,7,tsv,forecast/mse,0.7,0.2265087217092514,1.0,0.19366158545017242,3.436211,etth2_merge_n3,80552
ETTh2,5,123,ta,forecast/mse,0.2,0.22512522339820862,0.2,0.22512522339820862,1.273329,etth2_merge_n5,80553
ETTh2,5,123,dare,forecast/mse,0.2,0.22503025829792023,0.2,0.22503025829792023,1.873861,etth2_merge_n5,80553
ETTh2,5,123,ties,forecast/mse,1.0,0.2699689567089081,1.5,0.22050081193447113,2.88592,etth2_merge_n5,80553
ETTh2,5,123,iso_c,forecast/mse,1.5,0.3223370611667633,3.0,0.1949140578508377,4.543577,etth2_merge_n5,80553
ETTh2,5,123,tsv,forecast/mse,0.7,0.26587367057800293,1.0,0.20671749114990234,3.080355,etth2_merge_n5,80553
ETTh2,5,42,ta,forecast/mse,0.2,0.23703117668628693,0.2,0.23703117668628693,1.399853,etth2_merge_n5,80554
ETTh2,5,42,dare,forecast/mse,0.2,0.23604866862297058,0.2,0.23604866862297058,2.072788,etth2_merge_n5,80554
ETTh2,5,42,ties,forecast/mse,1.5,0.27498960494995117,1.5,0.27498960494995117,4.833025,etth2_merge_n5,80554
ETTh2,5,42,iso_c,forecast/mse,1.5,0.2805858850479126,3.0,0.1809358298778534,4.945509,etth2_merge_n5,80554
ETTh2,5,42,tsv,forecast/mse,0.7,0.26165878772735596,1.0,0.22685863077640533,3.437089,etth2_merge_n5,80554
ETTh2,5,7,ta,forecast/mse,0.2,0.20810899138450623,0.2,0.20810899138450623,1.568709,etth2_merge_n5,80555
ETTh2,5,7,dare,forecast/mse,0.2,0.20999978482723236,0.2,0.20999978482723236,2.386053,etth2_merge_n5,80555
ETTh2,5,7,ties,forecast/mse,1.0,0.290851354598999,1.0,0.290851354598999,3.761446,etth2_merge_n5,80555
ETTh2,5,7,iso_c,forecast/mse,1.5,0.22650593519210815,2.0,0.18546108901500702,5.711645,etth2_merge_n5,80555
ETTh2,5,7,tsv,forecast/mse,0.7,0.23242659866809845,0.7,0.23242659866809845,4.036165,etth2_merge_n5,80555
ETTm2,2,123,ta,forecast/mse,0.3,0.17951364815235138,0.5,0.1178840920329094,2.075832,ettm2_merge_n2,80584
ETTm2,2,123,dare,forecast/mse,0.3,0.1950203776359558,0.5,0.14704842865467072,3.615698,ettm2_merge_n2,80584
ETTm2,2,123,ties,forecast/mse,0.7,0.42901742458343506,1.0,0.38578882813453674,3.614668,ettm2_merge_n2,80584
ETTm2,2,123,iso_c,forecast/mse,1.0,0.309263676404953,2.0,0.19255799055099487,3.73684,ettm2_merge_n2,80584
ETTm2,2,123,tsv,forecast/mse,0.7,0.1507491171360016,0.7,0.1507491171360016,4.522761,ettm2_merge_n2,80584
ETTm2,2,42,ta,forecast/mse,0.3,0.1474556028842926,0.5,0.10671355575323105,2.49006,ettm2_merge_n2,80585
ETTm2,2,42,dare,forecast/mse,0.3,0.1680651158094406,0.5,0.13347388803958893,4.308407,ettm2_merge_n2,80585
ETTm2,2,42,ties,forecast/mse,0.5,0.34945228695869446,1.0,0.2787330746650696,3.058552,ettm2_merge_n2,80585
ETTm2,2,42,iso_c,forecast/mse,1.0,0.24638086557388306,1.5,0.2070474773645401,4.532648,ettm2_merge_n2,80585
ETTm2,2,42,tsv,forecast/mse,0.7,0.1308239847421646,0.7,0.1308239847421646,5.344892,ettm2_merge_n2,80585
ETTm2,2,7,ta,forecast/mse,0.5,0.10955523699522018,0.5,0.10955523699522018,3.609342,ettm2_merge_n2,80586
ETTm2,2,7,dare,forecast/mse,0.3,0.169988751411438,0.5,0.12560144066810608,3.759732,ettm2_merge_n2,80586
ETTm2,2,7,ties,forecast/mse,0.5,0.4412863850593567,1.5,0.29038679599761963,2.675417,ettm2_merge_n2,80586
ETTm2,2,7,iso_c,forecast/mse,1.5,0.20473262667655945,2.0,0.16590595245361328,5.754789,ettm2_merge_n2,80586
ETTm2,2,7,tsv,forecast/mse,0.7,0.14200648665428162,0.7,0.14200648665428162,4.679466,ettm2_merge_n2,80586
ETTm2,3,123,ta,forecast/mse,0.2,0.14477050304412842,0.3,0.1036456897854805,2.103264,ettm2_merge_n3,80587
ETTm2,3,123,dare,forecast/mse,0.2,0.15677598118782043,0.3,0.1205672025680542,3.482634,ettm2_merge_n3,80587
ETTm2,3,123,ties,forecast/mse,0.7,0.24939493834972382,1.0,0.20739108324050903,4.752029,ettm2_merge_n3,80587
ETTm2,3,123,iso_c,forecast/mse,1.0,0.17895548045635223,1.5,0.1552591621875763,6.047072,ettm2_merge_n3,80587
ETTm2,3,123,tsv,forecast/mse,0.7,0.13326169550418854,0.7,0.13326169550418854,6.304378,ettm2_merge_n3,80587
ETTm2,3,42,ta,forecast/mse,0.3,0.0982634648680687,0.3,0.0982634648680687,3.436439,ettm2_merge_n3,80588
ETTm2,3,42,dare,forecast/mse,0.3,0.11313804984092712,0.3,0.11313804984092712,5.639674,ettm2_merge_n3,80588
ETTm2,3,42,ties,forecast/mse,0.7,0.2564793825149536,1.0,0.23081879317760468,5.073581,ettm2_merge_n3,80588
ETTm2,3,42,iso_c,forecast/mse,1.0,0.1901392936706543,1.0,0.1901392936706543,6.466507,ettm2_merge_n3,80588
ETTm2,3,42,tsv,forecast/mse,0.7,0.14101025462150574,0.7,0.14101025462150574,6.73513,ettm2_merge_n3,80588
ETTm2,3,7,ta,forecast/mse,0.3,0.10025475919246674,0.3,0.10025475919246674,3.119382,ettm2_merge_n3,80589
ETTm2,3,7,dare,forecast/mse,0.3,0.10416875034570694,0.3,0.10416875034570694,5.189783,ettm2_merge_n3,80589
ETTm2,3,7,ties,forecast/mse,0.7,0.3278069496154785,1.5,0.21882504224777222,4.72225,ettm2_merge_n3,80589
ETTm2,3,7,iso_c,forecast/mse,1.5,0.18414996564388275,1.5,0.18414996564388275,8.661414,ettm2_merge_n3,80589
ETTm2,3,7,tsv,forecast/mse,0.7,0.15146422386169434,0.7,0.15146422386169434,6.267498,ettm2_merge_n3,80589
ETTm2,5,123,ta,forecast/mse,0.2,0.13035769760608673,0.2,0.13035769760608673,2.248461,ettm2_merge_n5,80590
ETTm2,5,123,dare,forecast/mse,0.2,0.14110369980335236,0.2,0.14110369980335236,3.49303,ettm2_merge_n5,80590
ETTm2,5,123,ties,forecast/mse,0.7,0.2689943313598633,1.0,0.24485820531845093,3.998172,ettm2_merge_n5,80590
ETTm2,5,123,iso_c,forecast/mse,0.7,0.21692119538784027,1.0,0.15647059679031372,4.345865,ettm2_merge_n5,80590
ETTm2,5,123,tsv,forecast/mse,0.5,0.19351470470428467,0.7,0.17566435039043427,4.255749,ettm2_merge_n5,80590
ETTm2,5,42,ta,forecast/mse,0.2,0.11537226289510727,0.2,0.11537226289510727,2.45996,ettm2_merge_n5,80591
ETTm2,5,42,dare,forecast/mse,0.2,0.11512818932533264,0.2,0.11512818932533264,3.769842,ettm2_merge_n5,80591
ETTm2,5,42,ties,forecast/mse,0.7,0.27803194522857666,0.7,0.27803194522857666,4.291181,ettm2_merge_n5,80591
ETTm2,5,42,iso_c,forecast/mse,0.7,0.21683670580387115,1.5,0.1640482246875763,4.601696,ettm2_merge_n5,80591
ETTm2,5,42,tsv,forecast/mse,0.5,0.1778685301542282,0.7,0.15099430084228516,4.55854,ettm2_merge_n5,80591
ETTm2,5,7,ta,forecast/mse,0.2,0.11133001744747162,0.2,0.11133001744747162,2.351471,ettm2_merge_n5,80592
ETTm2,5,7,dare,forecast/mse,0.2,0.1087043359875679,0.2,0.1087043359875679,3.626567,ettm2_merge_n5,80592
ETTm2,5,7,ties,forecast/mse,0.7,0.327345073223114,0.7,0.327345073223114,4.104096,ettm2_merge_n5,80592
ETTm2,5,7,iso_c,forecast/mse,1.0,0.16560322046279907,1.5,0.12839016318321228,6.199204,ettm2_merge_n5,80592
ETTm2,5,7,tsv,forecast/mse,0.7,0.15366075932979584,0.7,0.15366075932979584,6.159342,ettm2_merge_n5,80592
exchange,2,42,ta,forecast/mse,0.7,0.2326469123363495,0.7,0.2326469123363495,2.294436,segsweep_exchange_merge_n2,79883
exchange,2,42,dare,forecast/mse,0.7,0.2405647188425064,0.7,0.2405647188425064,3.974157,segsweep_exchange_merge_n2,79883
exchange,2,42,ties,forecast/mse,1.5,0.26169848442077637,2.0,0.20675964653491974,3.576541,segsweep_exchange_merge_n2,79883
exchange,2,42,iso_c,forecast/mse,3.0,0.32936733961105347,3.0,0.32936733961105347,4.691414,segsweep_exchange_merge_n2,79883
exchange,2,42,tsv,forecast/mse,1.0,0.2215714305639267,1.0,0.2215714305639267,3.033968,segsweep_exchange_merge_n2,79883
exchange,2,7,ta,forecast/mse,0.7,0.2726466655731201,0.7,0.2726466655731201,2.254899,segsweep_exchange_merge_n2,79884
exchange,2,7,dare,forecast/mse,0.7,0.2864360213279724,0.7,0.2864360213279724,3.912842,segsweep_exchange_merge_n2,79884
exchange,2,7,ties,forecast/mse,1.5,0.32533177733421326,2.0,0.2800397574901581,3.492487,segsweep_exchange_merge_n2,79884
exchange,2,7,iso_c,forecast/mse,3.0,0.3704661726951599,3.0,0.3704661726951599,4.588394,segsweep_exchange_merge_n2,79884
exchange,2,7,tsv,forecast/mse,1.0,0.25031888484954834,1.0,0.25031888484954834,2.988535,segsweep_exchange_merge_n2,79884
exchange,2,123,ta,forecast/mse,0.7,0.260955810546875,0.7,0.260955810546875,2.255178,segsweep_exchange_merge_n2,79922
exchange,2,123,dare,forecast/mse,0.7,0.27848297357559204,0.7,0.27848297357559204,3.906083,segsweep_exchange_merge_n2,79922
exchange,2,123,ties,forecast/mse,1.5,0.36584460735321045,1.5,0.36584460735321045,3.47892,segsweep_exchange_merge_n2,79922
exchange,2,123,iso_c,forecast/mse,3.0,0.389349102973938,3.0,0.389349102973938,4.525974,segsweep_exchange_merge_n2,79922
