experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
basefrac_ettm2_03,85117,sum,scale,merge_scale/selected,0.5,3,bitwise,73,0.0
basefrac_ettm2_03,85118,sum,scale,merge_scale/selected,0.55,3,bitwise,73,0.0
basefrac_ettm2_03,85119,sum,scale,merge_scale/selected,0.45,3,bitwise,73,0.0
basefrac_ettm2_07,85120,sum,scale,merge_scale/selected,0.1,3,bitwise,73,0.0
basefrac_ettm2_07,85121,sum,scale,merge_scale/selected,0.1,3,bitwise,73,0.0
basefrac_ettm2_07,85122,sum,scale,merge_scale/selected,0.05,3,bitwise,73,0.0
basefrac_exchange_03,84470,sum,scale,config.json,0.5,3,bitwise,73,0.0
basefrac_exchange_03,84478_53,sum,scale,config.json,0.5,3,bitwise,73,0.0
basefrac_exchange_03,84478_54,sum,scale,config.json,0.5,3,bitwise,73,0.0
basefrac_exchange_07,84470,sum,scale,config.json,0.5,3,bitwise,73,0.0
basefrac_exchange_07,84478_55,sum,scale,config.json,0.5,3,bitwise,73,0.0
basefrac_exchange_07,84478_56,sum,scale,config.json,0.5,3,bitwise,73,0.0
etth2_merge_n2,80547,sum,scale,merge_scale/selected,0.65,2,bitwise,73,0.0
etth2_merge_n2,80548,sum,scale,merge_scale/selected,0.5,2,bitwise,73,0.0
etth2_merge_n2,80549,sum,scale,merge_scale/selected,0.3,2,bitwise,73,0.0
etth2_merge_n3,80550,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
etth2_merge_n3,80551,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
etth2_merge_n3,80552,sum,scale,merge_scale/selected,0.25,3,bitwise,73,0.0
etth2_merge_n5,80553,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
etth2_merge_n5,80554,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
etth2_merge_n5,80555,sum,scale,merge_scale/selected,0.15,5,bitwise,73,0.0
etth2_n1,80544,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_n1,80545,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_n1,80546,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_window_W1,80535,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_window_W1,80536,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_window_W1,80537,sum,scale,config.json,1.0,1,bitwise,73,0.0
etth2_window_W2,80538,sum,scale,config.json,1.0,1,bitwise,73,0.0
