i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.6584919347298942,1
0,2,0.6415699996297064,2
0,3,0.7226015925009682,3
0,4,0.6249298739959642,4
1,0,0.6584919347298942,1
1,1,1.0,0
1,2,0.6660720540598706,1
1,3,0.7295520164013344,2
1,4,0.6158320259331318,3
2,0,0.6415699996297064,2
2,1,0.6660720540598706,1
2,2,1.0,0
2,3,0.8493808482240831,1
2,4,0.7544803891355947,2
3,0,0.7226015925009682,3
3,1,0.7295520164013344,2
3,2,0.8493808482240831,1
3,3,1.0,0
3,4,0.8182303569607802,1
4,0,0.6249298739959642,4
4,1,0.6158320259331318,3
4,2,0.7544803891355947,2
4,3,0.8182303569607802,1
4,4,1.0,0
