i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.23064327533046255,1
0,2,0.10920031194590764,2
0,3,0.20559654078792616,3
0,4,0.08722559473393734,4
1,0,0.23064327533046255,1
1,1,1.0,0
1,2,0.04104241182856336,1
1,3,0.06766467390243489,2
1,4,-0.017952467568121352,3
2,0,0.10920031194590764,2
2,1,0.04104241182856336,1
2,2,1.0,0
2,3,0.2707393801889757,1
2,4,0.03715633910927892,2
3,0,0.20559654078792616,3
3,1,0.06766467390243489,2
3,2,0.2707393801889757,1
3,3,1.0,0
3,4,0.338577660377127,1
4,0,0.08722559473393734,4
4,1,-0.017952467568121352,3
4,2,0.03715633910927892,2
4,3,0.338577660377127,1
4,4,1.0,0
