temporal_distance,mean,std,n_pairs
1,0.22025068193128214,0.11042417370151514,4
2,0.07134044165254048,0.02952645093172969,3
3,0.0938220366099024,0.11177450417802376,2
4,0.08722559473393734,0.0,1
