i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.27256704728176145,1
0,2,0.16817989325639449,2
0,3,0.2591671104846162,3
0,4,0.21416690655517376,4
1,0,0.27256704728176145,1
1,1,1.0,0
1,2,0.3760750492460227,1
1,3,0.47913911378160173,2
1,4,0.4190215939441202,3
2,0,0.16817989325639449,2
2,1,0.3760750492460227,1
2,2,1.0,0
2,3,0.4001494994979068,1
2,4,0.31108232338412223,2
3,0,0.2591671104846162,3
3,1,0.47913911378160173,2
3,2,0.4001494994979068,1
3,3,1.0,0
3,4,0.3582145510371145,1
4,0,0.21416690655517376,4
4,1,0.4190215939441202,3
4,2,0.31108232338412223,2
4,3,0.3582145510371145,1
4,4,1.0,0
