parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,3,0.7423876731904493
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,4,0.8856973776134748
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,5,1.0783964481048893
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,6,1.211731863956961
decoder.encoder.layers.0.linear2.weight,64x256,8,1,0,7,1.5150647328906324
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,0,0.34766985947709983
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,1,0.5194618061581424
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,2,0.5850961527258554
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,3,0.6829657597493194
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,4,0.9246595317053683
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,5,1.1720812993229157
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,6,1.2815231951453647
decoder.encoder.layers.0.linear2.weight,64x256,8,1,2,7,1.548396740305732
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,0,0.5394886313567094
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,1,0.6835832998792282
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,2,0.7176069249832472
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,3,0.9013535193525516
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,4,1.0361044687608436
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,5,1.2613684749385348
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,6,1.381527316825934
decoder.encoder.layers.0.linear2.weight,64x256,8,2,0,7,1.5416666710133264
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,0,0.34766985947709983
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,1,0.5194618061581429
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,2,0.5850961527258557
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,3,0.6829657597493192
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,4,0.9246595317053685
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,5,1.172081299322916
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,6,1.2815231951453647
decoder.encoder.layers.0.linear2.weight,64x256,8,2,1,7,1.548396740305732
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,0,0.50343824945493
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,1,0.6913782129779973
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,2,0.7819540216323895
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,3,0.812427646480966
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,4,0.9913774599809753
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,5,1.2306713785958747
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,6,1.4337190568232432
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,1,7,1.5224460846266559
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,0,0.6071768348024371
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,1,0.7447950076556686
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,2,0.7965858982339067
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,3,0.9716402482683774
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,4,1.1201409285209416
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,5,1.338621421997427
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,6,1.3533192559767016
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,0,2,7,1.5684452887438316
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,0,0.5034382494549309
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,1,0.6913782129779975
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,2,0.7819540216323891
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,3,0.812427646480966
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,4,0.9913774599809753
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,5,1.2306713785958747
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,6,1.4337190568232432
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,0,7,1.5224460846266559
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,0,0.6494691574304682
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,1,0.733334097904427
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,2,0.8446932996840502
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,3,0.980151302405618
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,4,1.2133761747716911
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,5,1.3120251001038588
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,6,1.4048896396352384
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,1,2,7,1.561361234436045
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,0,0.6071768348024369
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,1,0.7447950076556682
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,2,0.7965858982339066
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,3,0.9716402482683769
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,4,1.1201409285209416
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,5,1.338621421997427
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,6,1.3533192559767016
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,0,7,1.5684452887438316
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,0,0.6494691574304684
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,1,0.7333340979044265
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,2,0.8446932996840503
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,3,0.980151302405618
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,4,1.213376174771691
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,5,1.3120251001038588
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,6,1.4048896396352384
decoder.encoder.layers.0.self_attn.in_proj_weight,192x64,8,2,1,7,1.561361234436045
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,0,0.32455708620950785
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,1,0.49904715141243267
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,2,0.7883814197529407
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,3,1.0258790208789441
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,4,1.0625792499330398
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,5,1.2853260803036457
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,6,1.383410804314487
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,1,7,1.469697332684082
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,0,0.427894585970807
decoder.encoder.layers.0.self_attn.out_proj.weight,64x64,8,0,2,1,0.4731467725770341
