group,dataset,metric,merge_scale,n_segments,n_seeds,oracle,merged,newest,merged_vs_oracle_pct,newest_vs_oracle_pct,merged_vs_oracle_pct_excl_last,merge_cost,specialisation
noisefloor_psm_diagnostics,?,reconstruction/score_mean,1,3,3,0.708,0.8815,0.7692,24.5,8.6,10.7,1.1842,0.087
noisefloor_swat_diagnostics,?,reconstruction/score_mean,1,3,3,0.6224,2.2568,0.6643,262.6,6.7,281.7,3.5805,0.0877
