dataset,n_segments,seed,metric,lambda_source,fixed_lambda,fisher_batch_size,fisher_batches,fisher_samples,adaptive_run,plain_run,acc_adaptive,acc_plain,bwt_adaptive,bwt_plain,base_slice_adaptive,base_slice_plain
ETTh1,3,123,forecast/mse,became,,128,64,8192,adaptive_became_etth1_n3_s123/112244,continual_etth/79368,0.5128962049881617,0.3407415846983592,-0.06433025747537613,-0.04272356629371643,0.9618373532555469,1.2578039754753307
ETTh1,3,42,forecast/mse,became,,128,64,8192,adaptive_became_etth1_n3_s42/112242,continual_etth/79359,0.4809364974498749,0.3058255463838577,-0.030619055032730103,-0.03064412623643875,0.9057052171467976,0.9718448823606506
ETTh1,3,7,forecast/mse,became,,128,64,8192,adaptive_became_etth1_n3_s7/112243,continual_etth/79367,0.4322625199953715,0.30993593235810596,-0.03892380744218826,-0.042984358966350555,0.9897749066875527,1.1016982073205674
ETTh2,2,123,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n2_s123/112245,etth2_continual_n2/80556,0.5523937940597534,0.26720861345529556,-0.0003050267696380615,0.17374025285243988,0.9978665279943825,1.053687992282823
ETTh2,2,42,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n2_s42/112246,etth2_continual_n2/80557,0.9621359780430794,0.4390663132071495,0.01141957938671112,0.495316818356514,0.9682937073826383,1.484881950408343
ETTh2,2,7,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n2_s7/112247,etth2_continual_n2/80558,0.5441306456923485,0.31951912492513657,-0.0005426555871963501,0.28496238589286804,0.9680546414809647,1.2122161947676562
ETTh2,3,123,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n3_s123/112248,etth2_continual_n3/80559,0.8047543416420618,0.2370330492655436,-0.008684918284416199,0.10568356513977051,1.1458172032534444,1.1127918709175362
ETTh2,3,42,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n3_s42/112249,etth2_continual_n3/80560,1.058032328883807,0.25030384709437686,-0.006617099046707153,0.15228334814310074,1.2417974602274184,1.269556210772102
ETTh2,3,7,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n3_s7/112250,etth2_continual_n3/80561,0.7011584540208181,0.19089029977718988,-0.005393572151660919,0.05615832284092903,1.2073110248128982,1.0561565486628246
ETTh2,5,123,forecast/mse,became,,128,64,8192,adaptive_became_etth2_n5_s123/112251,etth2_continual_n5/80562,0.4467348366975784,0.22190409302711486,-0.0007084421813488007,0.0633212961256504,1.1612634404637237,1.2696307789657457
