dataset,n_segments,seed,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,step,lambda_star,one_over_t,lambda_over_one_over_t,fisher_num,fisher_den,lambda_term,lambda_over_fisher,floor_is_t,fisher_star_num,asymmetry_hat_over_star,d_norm,step_norm,merged_dist_from_base,unconstrained_dist_from_base
ETTh1,3,123,became,128,64,8192,1,0.44055871102205774,0.5,0.8811174220441155,2.234235988883665e-07,5.071369451986167e-07,2.8371334631025023e-07,1.2698450285549625,1,0.0,,1.6674836874008179,0.734624445438385,0.734624445438385,1.6674836874008179
ETTh1,3,123,became,128,64,8192,2,0.15781030047179556,0.3333333333333333,0.4734309014153867,1.4395757842559075e-06,9.122191516980184e-06,7.682615732724277e-06,5.3367219820909195,2,0.0,,2.42606782913208,0.3828584849834442,0.8757786154747009,2.6338319778442383
ETTh1,3,123,became,128,64,8192,3,0.05689916612936502,0.25,0.22759666451746008,5.5878212995410005e-08,9.820567997141858e-07,9.261785867187758e-07,16.574950004125128,3,0.0,,0.6489890217781067,0.036926936358213425,0.880648136138916,1.146528959274292
ETTh1,3,42,became,128,64,8192,1,0.32758385791135847,0.5,0.6551677158227169,2.9302002635525234e-07,8.944885997238032e-07,6.014685733685509e-07,2.0526534682627493,1,0.0,,1.8527045249938965,0.606916069984436,0.606916069984436,1.8527045249938965
ETTh1,3,42,became,128,64,8192,2,0.1140549127987156,0.3333333333333333,0.3421647383961468,3.862297186245849e-07,3.3863488134544815e-06,3.0001190948298965e-06,7.767706497350119,2,0.0,,1.713353157043457,0.19541634619235992,0.6734567284584045,1.9277161359786987
ETTh1,3,42,became,128,64,8192,3,0.04333328608487426,0.25,0.17333314433949704,6.856422276486055e-08,1.5822530197817907e-06,1.5136887970169302e-06,22.076948238851795,3,0.0,,0.8983956575393677,0.03893043473362923,0.6810443997383118,1.2094866037368774
ETTh1,3,7,became,128,64,8192,1,0.504927995409565,0.5,1.00985599081913,1.97409914824499e-07,3.909664677324394e-07,1.935565529079404e-07,0.9804804033273389,1,0.0,,1.249752163887024,0.6310348510742188,0.6310348510742188,1.249752163887024
ETTh1,3,7,became,128,64,8192,2,0.16648553042478553,0.3333333333333333,0.4994565912743566,4.191214218855942e-07,2.5174645557257237e-06,2.0983431338401296e-06,5.006527999451446,2,0.0,,1.6482166051864624,0.27440422773361206,0.7182486653327942,1.8355846405029297
ETTh1,3,7,became,128,64,8192,3,0.04140799698285242,0.25,0.16563198793140968,4.402359591746966e-08,1.063166516740725e-06,1.0191429208232552e-06,23.149924479904513,3,0.0,,0.8264859914779663,0.03422313556075096,0.7232089638710022,1.1590285301208496
ETTh2,2,123,became,128,64,8192,1,0.9955445141060477,0.5,1.9910890282120954,5.37893229144198e-07,5.403005305364983e-07,2.407301392300328e-09,0.004475426091773653,1,0.0,,0.17571790516376495,0.1749349981546402,0.1749349981546402,0.17571790516376495
ETTh2,2,123,became,128,64,8192,2,0.003372529024326373,0.3333333333333333,0.01011758707297912,6.347760972861233e-07,0.00018821960988546664,0.0001875848337881805,295.5133858854601,2,0.0,,3.771009922027588,0.012717836536467075,0.17574769258499146,3.779902935028076
