temporal_distance,mean,std,n_pairs
1,0.3261171378336153,0.08151900407645052,4
2,0.23649016140324405,0.05483433624514024,3
3,0.16938453215848953,0.04506402274679695,2
4,0.20429909855665007,0.0,1
