i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.229054252840929,1
0,2,0.2707151899148648,2
0,3,0.21444855490528647,3
0,4,0.20429909855665007,4
1,0,0.229054252840929,1
1,1,1.0,0
1,2,0.2903865167410682,1
1,3,0.15911412406172526,2
1,4,0.12432050941169256,3
2,0,0.2707151899148648,2
2,1,0.2903865167410682,1
2,2,1.0,0
2,3,0.3330729388881524,1
2,4,0.27964117023314206,2
3,0,0.21444855490528647,3
3,1,0.15911412406172526,2
3,2,0.3330729388881524,1
3,3,1.0,0
3,4,0.45195484286431153,1
4,0,0.20429909855665007,4
4,1,0.12432050941169256,3
4,2,0.27964117023314206,2
4,3,0.45195484286431153,1
4,4,1.0,0
