temporal_distance,mean,std,n_pairs
1,0.7355273779415124,0.0903718103365378,4
2,0.6804139849200795,0.057663217696869926,3
3,0.6312638698063354,0.03751137847661257,2
4,0.551107498413007,0.0,1
