singular_index,singular_value,p,cumulative_energy
0,0.6060461100251442,0.5684028313640614,0.5684028313640614
1,0.37826372009560544,0.2214288861076811,0.7898317174717425
2,0.301621229825119,0.14078899518824692,0.9306207126599895
3,0.2050959371301139,0.0650967056958443,0.9957174183558337
4,0.052605406066650914,0.004282581644166202,0.9999999999999999
