i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.22505253819133691,1
0,2,0.12061251188583717,2
1,0,0.22505253819133691,1
1,1,1.0,0
1,2,0.23615909481624148,1
2,0,0.12061251188583717,2
2,1,0.23615909481624148,1
2,2,1.0,0
