dataset,n_segments,seed,step,batch_size,samples_run,samples_sweep,lambda_run,lambda_sweep,delta_pct,d_norm_run,d_norm_sweep,d_norm_rel_diff
ETTm2,3,7,1,1,512,8192,0.8643767618893221,0.8512917886940758,1.5370726428971277,6.684566974639893,6.685657024383545,0.00016304302474338375
ETTm2,3,42,1,1,512,8192,0.8264861400600126,0.7876601960722794,4.9292758706535365,7.215146064758301,7.215146064758301,0.0
ETTm2,3,123,1,1,512,8192,0.8727051517976271,0.819641891149392,6.473956641457642,6.801470756530762,6.801470756530762,0.0
