dataset,n_segments,seed,step,n_points,exponent_numerator,exponent_lambda_term,scaling_share,scaling_share_pct,flat_over_scaling,flat_terms_expected,num_at_bmin,num_at_bmax,lambda_term_at_bmin,lambda_term_at_bmax,b_min,b_max
ETTm2,3,7,1,4,-0.8659263378036276,-0.618704351321195,1.0,100.0,0.0,0,0.0008572496033987881,1.320397478799062e-05,0.00014974895430356196,7.459274654976336e-06,1,128
ETTm2,3,7,2,4,-0.9057644149141139,-0.3099826389339617,0.5010190057206126,50.10190057206126,0.9959322672035285,1,1.220378754974998e-05,1.5889124901900077e-07,0.0006893428376863218,0.00014849263022981892,1,128
ETTm2,3,7,3,4,-0.6999549609643598,-0.27086129311003426,0.4377879233136652,43.77879233136652,1.2842110226131627,2,1.2130940806959777e-05,4.143947255503339e-07,0.00020649862595780252,5.3717201468984915e-05,1,128
ETTm2,3,42,1,4,-0.9131583895684621,-0.8761282515043725,1.0,100.0,0.0,0,0.000714056780101334,8.971480186330585e-06,0.0001924975737457007,2.765160335382643e-06,1,128
ETTm2,3,42,2,4,-0.8980156644967999,-0.32381738873130633,0.36960044168794876,36.96004416879487,1.7056244722897096,1,4.750484795587946e-06,6.003604415776985e-08,8.618177404110131e-05,1.7292984347524572e-05,1,128
ETTm2,3,42,3,4,-0.6781166220798516,-0.2882068557120417,0.3289550990019677,32.89550990019677,2.0399285587423543,2,1.5150307428185191e-05,5.752264374545939e-07,0.0001569465657622766,3.742204491385978e-05,1,128
ETTm2,3,123,1,4,-0.8743808420387306,-0.5762894467700255,1.0,100.0,0.0,0,0.0008044342341338178,1.2230556062294319e-05,0.0001770117397972507,1.0787280301616352e-05,1,128
ETTm2,3,123,2,4,-0.9097100651493031,-0.23479144681989744,0.40741930662768755,40.74193066276875,1.4544737662955947,1,1.0685926371460155e-05,1.310044943089584e-07,0.0020300572339997693,0.0006271791053605218,1,128
ETTm2,3,123,3,4,-0.7463287800393861,-0.21910327973509686,0.3801965851762897,38.01965851762897,1.630218258105395,2,1.4131914818074633e-05,4.012798274217454e-07,0.0012857255451091604,0.000429266816345852,1,128
