temporal_distance,mean,std,n_pairs
1,0.32107728103420663,0.14554296609757808,4
2,0.14925805591705274,0.030703594066112016,3
3,0.09738863827855526,0.010888011780232222,2
4,0.07730078145586373,0.0,1
