i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.3719558280883926,1
0,2,0.2960329932076017,2
0,3,0.07608930216652893,3
0,4,0.1370898022551553,4
1,0,0.3719558280883926,1
1,1,1.0,0
1,2,0.37321844135719134,1
1,3,0.19959625612899662,2
1,4,0.259687949482891,3
2,0,0.2960329932076017,2
2,1,0.37321844135719134,1
2,2,1.0,0
2,3,0.2836236775463037,1
2,4,0.345500930719028,2
3,0,0.07608930216652893,3
3,1,0.19959625612899662,2
3,2,0.2836236775463037,1
3,3,1.0,0
3,4,0.13133949836258782,1
4,0,0.1370898022551553,4
4,1,0.259687949482891,3
4,2,0.345500930719028,2
4,3,0.13133949836258782,1
4,4,1.0,0
