dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
ETTh2,2,sequential,etth2_continual_n2,3,4,3365,3,0.205884,0.03605,2
ETTh2,2,window,etth2_window_W3,3,4,3365,3,0.267243,0.023512,4
ETTh2,2,base,etth2_merge_n2,3,4,3365,3,0.688673,0.064388,
ETTh2,2,joint,etth2_gate_joint,4,4,3365,3,0.092245,0.016038,1
ETTh2,2,merge,etth2_merge_n2,4,4,3365,3,0.242574,0.0586,3
ETTh2,2,sequential,etth2_continual_n2,4,4,3365,3,0.235868,0.035845,2
ETTh2,2,window,etth2_window_W3,4,4,3365,3,0.286222,0.02447,4
ETTh2,2,base,etth2_merge_n2,4,4,3365,3,0.666131,0.058301,
ETTh2,3,joint,etth2_gate_joint,1,4,3365,3,0.202757,0.004196,1
ETTh2,3,merge,etth2_merge_n3,1,4,3365,3,0.260577,0.006875,3
ETTh2,3,sequential,etth2_continual_n3,1,4,3365,3,0.232184,0.002176,2
ETTh2,3,window,etth2_window_W3,1,4,3365,3,0.331341,0.014826,4
ETTh2,3,base,etth2_merge_n3,1,4,3365,3,1.037605,0.095368,
ETTh2,3,joint,etth2_gate_joint,2,4,3365,3,0.165559,0.015804,1
ETTh2,3,merge,etth2_merge_n3,2,4,3365,3,0.242378,0.011692,3
ETTh2,3,sequential,etth2_continual_n3,2,4,3365,3,0.210037,0.010176,2
ETTh2,3,window,etth2_window_W3,2,4,3365,3,0.295898,0.024193,4
ETTh2,3,base,etth2_merge_n3,2,4,3365,3,1.04068,0.058699,
ETTh2,3,joint,etth2_gate_joint,3,4,3365,3,0.084483,0.017784,1
ETTh2,3,merge,etth2_merge_n3,3,4,3365,3,0.17533,0.031105,3
ETTh2,3,sequential,etth2_continual_n3,3,4,3365,3,0.15646,0.018338,2
ETTh2,3,window,etth2_window_W3,3,4,3365,3,0.267243,0.023512,4
ETTh2,3,base,etth2_merge_n3,3,4,3365,3,0.804392,0.040071,
ETTh2,3,joint,etth2_gate_joint,4,4,3365,3,0.092245,0.016038,1
ETTh2,3,merge,etth2_merge_n3,4,4,3365,3,0.182879,0.036734,2
ETTh2,3,sequential,etth2_continual_n3,4,4,3365,3,0.189266,0.026812,3
ETTh2,3,window,etth2_window_W3,4,4,3365,3,0.286222,0.02447,4
ETTh2,3,base,etth2_merge_n3,4,4,3365,3,0.766193,0.03601,
ETTh2,5,joint,etth2_gate_joint,1,4,3365,3,0.202757,0.004196,1
ETTh2,5,merge,etth2_merge_n5,1,4,3365,3,0.302626,0.046504,3
ETTh2,5,sequential,etth2_continual_n5,1,4,3365,3,0.269652,0.034077,2
ETTh2,5,window,etth2_window_W3,1,4,3365,3,0.331341,0.014826,4
ETTh2,5,base,etth2_merge_n5,1,4,3365,3,0.980851,0.078632,
ETTh2,5,joint,etth2_gate_joint,2,4,3365,3,0.165559,0.015804,1
ETTh2,5,merge,etth2_merge_n5,2,4,3365,3,0.287037,0.031942,3
ETTh2,5,sequential,etth2_continual_n5,2,4,3365,3,0.238208,0.041273,2
ETTh2,5,window,etth2_window_W3,2,4,3365,3,0.295898,0.024193,4
ETTh2,5,base,etth2_merge_n5,2,4,3365,3,0.958242,0.051064,
ETTh2,5,joint,etth2_gate_joint,3,4,3365,3,0.084483,0.017784,1
ETTh2,5,merge,etth2_merge_n5,3,4,3365,3,0.232868,0.024916,3
ETTh2,5,sequential,etth2_continual_n5,3,4,3365,3,0.222647,0.050736,2
ETTh2,5,window,etth2_window_W3,3,4,3365,3,0.267243,0.023512,4
ETTh2,5,base,etth2_merge_n5,3,4,3365,3,0.767681,0.037634,
ETTh2,5,joint,etth2_gate_joint,4,4,3365,3,0.092245,0.016038,1
ETTh2,5,merge,etth2_merge_n5,4,4,3365,3,0.245175,0.021129,2
ETTh2,5,sequential,etth2_continual_n5,4,4,3365,3,0.267293,0.031635,3
ETTh2,5,window,etth2_window_W3,4,4,3365,3,0.286222,0.02447,4
ETTh2,5,base,etth2_merge_n5,4,4,3365,3,0.744663,0.033041,
ETTm2,2,joint,ettm2_gate_joint,1,4,13817,3,0.104772,0.001482,1
ETTm2,2,merge,ettm2_merge_n2,1,4,13817,3,0.178987,0.012379,4
ETTm2,2,sequential,ettm2_continual_n2,1,4,13817,3,0.10899,0.007255,2
ETTm2,2,window,ettm2_window_W3,1,4,13817,3,0.110521,0.004878,3
ETTm2,2,base,ettm2_merge_n2,1,4,13817,3,0.605536,0.068543,
ETTm2,2,joint,ettm2_gate_joint,2,4,13817,3,0.088512,0.004559,1
ETTm2,2,merge,ettm2_merge_n2,2,4,13817,3,0.130294,0.008611,4
ETTm2,2,sequential,ettm2_continual_n2,2,4,13817,3,0.109107,0.014156,2
ETTm2,2,window,ettm2_window_W3,2,4,13817,3,0.114713,0.007418,3
ETTm2,2,base,ettm2_merge_n2,2,4,13817,3,0.600077,0.098981,
ETTm2,2,joint,ettm2_gate_joint,3,4,13817,3,0.049667,0.006018,1
ETTm2,2,merge,ettm2_merge_n2,3,4,13817,3,0.090636,0.007703,3
ETTm2,2,sequential,ettm2_continual_n2,3,4,13817,3,0.077009,0.010233,2
ETTm2,2,window,ettm2_window_W3,3,4,13817,3,0.098422,0.008922,4
ETTm2,2,base,ettm2_merge_n2,3,4,13817,3,0.553487,0.088647,
ETTm2,2,joint,ettm2_gate_joint,4,4,13817,3,0.057202,0.005926,1
ETTm2,2,merge,ettm2_merge_n2,4,4,13817,3,0.095983,0.007941,3
ETTm2,2,sequential,ettm2_continual_n2,4,4,13817,3,0.085847,0.008307,2
ETTm2,2,window,ettm2_window_W3,4,4,13817,3,0.113007,0.008855,4
ETTm2,2,base,ettm2_merge_n2,4,4,13817,3,0.531812,0.082047,
