i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.32230576493899565,1
0,2,0.1255202829216906,2
1,0,0.32230576493899565,1
1,1,1.0,0
1,2,0.19339507368204165,1
2,0,0.1255202829216906,2
2,1,0.19339507368204165,1
2,2,1.0,0
