step,lambda_star,one_over_t,weight,one_over_n,max_dev_from_uniform
0,1.0,1.0,0.022058133695115542,0.2,1.0234407912865975
1,0.9435661961187273,0.5,0.36880925744375154,0.2,1.0234407912865975
2,0.2854919643664152,0.3333333333333333,0.15617668904739462,0.2,1.0234407912865975
3,0.42521219930421583,0.25,0.4046881582573195,0.2,1.0234407912865975
4,0.048267761556418744,0.2,0.048267761556418744,0.2,1.0234407912865975
