i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.5069106510944104,1
0,2,0.4591537899464982,2
0,3,0.17990803376029996,3
0,4,0.042610124931231376,4
1,0,0.5069106510944104,1
1,1,1.0,0
1,2,0.519982765170594,1
1,3,0.2948282832565368,2
1,4,0.3067200785691856,3
2,0,0.4591537899464982,2
2,1,0.519982765170594,1
2,2,1.0,0
2,3,0.4219994192592094,1
2,4,0.3533595399060149,2
3,0,0.17990803376029996,3
3,1,0.2948282832565368,2
3,2,0.4219994192592094,1
3,3,1.0,0
3,4,0.23010647949490867,1
4,0,0.042610124931231376,4
4,1,0.3067200785691856,3
4,2,0.3533595399060149,2
4,3,0.23010647949490867,1
4,4,1.0,0
