parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.5216611481934169
decoder.encoder.layers.0.linear1.bias,0,2,0.25798332743361496
decoder.encoder.layers.0.linear1.bias,1,0,0.5216611481934169
decoder.encoder.layers.0.linear1.bias,1,2,0.5707436092213599
decoder.encoder.layers.0.linear1.bias,2,0,0.25798332743361496
decoder.encoder.layers.0.linear1.bias,2,1,0.5707436092213599
decoder.encoder.layers.0.linear1.weight,0,1,0.4756857030012878
decoder.encoder.layers.0.linear1.weight,0,2,0.3218167901587362
decoder.encoder.layers.0.linear1.weight,1,0,0.4756857030012878
decoder.encoder.layers.0.linear1.weight,1,2,0.3613238487362123
decoder.encoder.layers.0.linear1.weight,2,0,0.3218167901587362
decoder.encoder.layers.0.linear1.weight,2,1,0.3613238487362123
decoder.encoder.layers.0.linear2.bias,0,1,0.5867635820975892
decoder.encoder.layers.0.linear2.bias,0,2,0.052634202516526604
decoder.encoder.layers.0.linear2.bias,1,0,0.5867635820975892
decoder.encoder.layers.0.linear2.bias,1,2,0.6004408476598346
decoder.encoder.layers.0.linear2.bias,2,0,0.052634202516526604
decoder.encoder.layers.0.linear2.bias,2,1,0.6004408476598346
decoder.encoder.layers.0.linear2.weight,0,1,0.4896742562396934
decoder.encoder.layers.0.linear2.weight,0,2,0.20854567162597898
decoder.encoder.layers.0.linear2.weight,1,0,0.4896742562396934
decoder.encoder.layers.0.linear2.weight,1,2,0.4439959542102857
decoder.encoder.layers.0.linear2.weight,2,0,0.20854567162597898
decoder.encoder.layers.0.linear2.weight,2,1,0.4439959542102857
decoder.encoder.layers.0.norm1.bias,0,1,0.40718397684827173
decoder.encoder.layers.0.norm1.bias,0,2,0.19184799409576958
decoder.encoder.layers.0.norm1.bias,1,0,0.40718397684827173
decoder.encoder.layers.0.norm1.bias,1,2,0.5123461297520986
decoder.encoder.layers.0.norm1.bias,2,0,0.19184799409576958
decoder.encoder.layers.0.norm1.bias,2,1,0.5123461297520986
decoder.encoder.layers.0.norm1.weight,0,1,0.6449486001397731
decoder.encoder.layers.0.norm1.weight,0,2,0.3246064797616334
decoder.encoder.layers.0.norm1.weight,1,0,0.6449486001397731
decoder.encoder.layers.0.norm1.weight,1,2,0.3297197406126923
decoder.encoder.layers.0.norm1.weight,2,0,0.3246064797616334
decoder.encoder.layers.0.norm1.weight,2,1,0.3297197406126923
decoder.encoder.layers.0.norm2.bias,0,1,0.5238832179457333
decoder.encoder.layers.0.norm2.bias,0,2,0.32563480469907957
decoder.encoder.layers.0.norm2.bias,1,0,0.5238832179457333
decoder.encoder.layers.0.norm2.bias,1,2,0.48105198361438317
decoder.encoder.layers.0.norm2.bias,2,0,0.32563480469907957
decoder.encoder.layers.0.norm2.bias,2,1,0.48105198361438317
decoder.encoder.layers.0.norm2.weight,0,1,0.5064226139164814
decoder.encoder.layers.0.norm2.weight,0,2,0.5243611623488798
decoder.encoder.layers.0.norm2.weight,1,0,0.5064226139164814
decoder.encoder.layers.0.norm2.weight,1,2,0.4614020061881618
decoder.encoder.layers.0.norm2.weight,2,0,0.5243611623488798
decoder.encoder.layers.0.norm2.weight,2,1,0.4614020061881618
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.2840230312676548
decoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.23330598686296622
decoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.2840230312676548
decoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.2819318549027924
decoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.23330598686296622
decoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.2819318549027924
decoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.4480338432553059
decoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.22520686494493894
decoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.4480338432553059
decoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.27310997590620034
decoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.22520686494493894
decoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.27310997590620034
decoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.41663421087254504
