parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.6373965450424893
decoder.encoder.layers.0.linear1.bias,0,2,0.6743771868412921
decoder.encoder.layers.0.linear1.bias,1,0,0.6373965450424893
decoder.encoder.layers.0.linear1.bias,1,2,0.8501704082762428
decoder.encoder.layers.0.linear1.bias,2,0,0.6743771868412921
decoder.encoder.layers.0.linear1.bias,2,1,0.8501704082762428
decoder.encoder.layers.0.linear1.weight,0,1,0.4711007007866784
decoder.encoder.layers.0.linear1.weight,0,2,0.5306191850071965
decoder.encoder.layers.0.linear1.weight,1,0,0.4711007007866784
decoder.encoder.layers.0.linear1.weight,1,2,0.8007451069932855
decoder.encoder.layers.0.linear1.weight,2,0,0.5306191850071965
decoder.encoder.layers.0.linear1.weight,2,1,0.8007451069932855
decoder.encoder.layers.0.linear2.bias,0,1,0.8569902502588642
decoder.encoder.layers.0.linear2.bias,0,2,0.8392584722989611
decoder.encoder.layers.0.linear2.bias,1,0,0.8569902502588642
decoder.encoder.layers.0.linear2.bias,1,2,0.9578696994835698
decoder.encoder.layers.0.linear2.bias,2,0,0.8392584722989611
decoder.encoder.layers.0.linear2.bias,2,1,0.9578696994835698
decoder.encoder.layers.0.linear2.weight,0,1,0.6597929209440465
decoder.encoder.layers.0.linear2.weight,0,2,0.7089796587477717
decoder.encoder.layers.0.linear2.weight,1,0,0.6597929209440465
decoder.encoder.layers.0.linear2.weight,1,2,0.8579653755571556
decoder.encoder.layers.0.linear2.weight,2,0,0.7089796587477717
decoder.encoder.layers.0.linear2.weight,2,1,0.8579653755571556
decoder.encoder.layers.0.norm1.bias,0,1,0.742575748889779
decoder.encoder.layers.0.norm1.bias,0,2,0.39792391512471936
decoder.encoder.layers.0.norm1.bias,1,0,0.742575748889779
decoder.encoder.layers.0.norm1.bias,1,2,0.6693081839356736
decoder.encoder.layers.0.norm1.bias,2,0,0.39792391512471936
decoder.encoder.layers.0.norm1.bias,2,1,0.6693081839356736
decoder.encoder.layers.0.norm1.weight,0,1,0.7560729972923986
decoder.encoder.layers.0.norm1.weight,0,2,0.732054417701811
decoder.encoder.layers.0.norm1.weight,1,0,0.7560729972923986
decoder.encoder.layers.0.norm1.weight,1,2,0.9059923426404957
decoder.encoder.layers.0.norm1.weight,2,0,0.732054417701811
decoder.encoder.layers.0.norm1.weight,2,1,0.9059923426404957
decoder.encoder.layers.0.norm2.bias,0,1,0.6926744294439804
decoder.encoder.layers.0.norm2.bias,0,2,0.6041774225413296
decoder.encoder.layers.0.norm2.bias,1,0,0.6926744294439804
decoder.encoder.layers.0.norm2.bias,1,2,0.8826170212265672
decoder.encoder.layers.0.norm2.bias,2,0,0.6041774225413296
decoder.encoder.layers.0.norm2.bias,2,1,0.8826170212265672
decoder.encoder.layers.0.norm2.weight,0,1,0.47866829935227073
decoder.encoder.layers.0.norm2.weight,0,2,0.5972143568844481
decoder.encoder.layers.0.norm2.weight,1,0,0.47866829935227073
decoder.encoder.layers.0.norm2.weight,1,2,0.8900954910684993
decoder.encoder.layers.0.norm2.weight,2,0,0.5972143568844481
decoder.encoder.layers.0.norm2.weight,2,1,0.8900954910684993
decoder.encoder.layers.0.self_attn.in_proj_bias,0,1,0.7208388474013739
decoder.encoder.layers.0.self_attn.in_proj_bias,0,2,0.695158022916778
decoder.encoder.layers.0.self_attn.in_proj_bias,1,0,0.7208388474013739
decoder.encoder.layers.0.self_attn.in_proj_bias,1,2,0.81715900500368
decoder.encoder.layers.0.self_attn.in_proj_bias,2,0,0.695158022916778
decoder.encoder.layers.0.self_attn.in_proj_bias,2,1,0.81715900500368
decoder.encoder.layers.0.self_attn.in_proj_weight,0,1,0.6224644162541442
decoder.encoder.layers.0.self_attn.in_proj_weight,0,2,0.6793531154312412
decoder.encoder.layers.0.self_attn.in_proj_weight,1,0,0.6224644162541442
decoder.encoder.layers.0.self_attn.in_proj_weight,1,2,0.8048325569641472
decoder.encoder.layers.0.self_attn.in_proj_weight,2,0,0.6793531154312412
decoder.encoder.layers.0.self_attn.in_proj_weight,2,1,0.8048325569641472
decoder.encoder.layers.0.self_attn.out_proj.bias,0,1,0.8162483001293516
decoder.encoder.layers.0.self_attn.out_proj.bias,0,2,0.6269733170106627
decoder.encoder.layers.0.self_attn.out_proj.bias,1,0,0.8162483001293516
decoder.encoder.layers.0.self_attn.out_proj.bias,1,2,0.8277489730099225
decoder.encoder.layers.0.self_attn.out_proj.bias,2,0,0.6269733170106627
decoder.encoder.layers.0.self_attn.out_proj.bias,2,1,0.8277489730099225
decoder.encoder.layers.0.self_attn.out_proj.weight,0,1,0.6148339053022799
decoder.encoder.layers.0.self_attn.out_proj.weight,0,2,0.5802096330368751
decoder.encoder.layers.0.self_attn.out_proj.weight,1,0,0.6148339053022799
decoder.encoder.layers.0.self_attn.out_proj.weight,1,2,0.8007494556557202
decoder.encoder.layers.0.self_attn.out_proj.weight,2,0,0.5802096330368751
decoder.encoder.layers.0.self_attn.out_proj.weight,2,1,0.8007494556557202
decoder.encoder.layers.1.linear1.bias,0,1,0.5631013016613977
decoder.encoder.layers.1.linear1.bias,0,2,0.6455024488149176
decoder.encoder.layers.1.linear1.bias,1,0,0.5631013016613977
decoder.encoder.layers.1.linear1.bias,1,2,0.7658767937494454
decoder.encoder.layers.1.linear1.bias,2,0,0.6455024488149176
decoder.encoder.layers.1.linear1.bias,2,1,0.7658767937494454
decoder.encoder.layers.1.linear1.weight,0,1,0.36571052084964584
decoder.encoder.layers.1.linear1.weight,0,2,0.4010384994073725
decoder.encoder.layers.1.linear1.weight,1,0,0.36571052084964584
decoder.encoder.layers.1.linear1.weight,1,2,0.7401562572710751
decoder.encoder.layers.1.linear1.weight,2,0,0.4010384994073725
decoder.encoder.layers.1.linear1.weight,2,1,0.7401562572710751
decoder.encoder.layers.1.linear2.bias,0,1,0.8151202900175136
decoder.encoder.layers.1.linear2.bias,0,2,0.6907159973077999
decoder.encoder.layers.1.linear2.bias,1,0,0.8151202900175136
decoder.encoder.layers.1.linear2.bias,1,2,0.9410874147381566
decoder.encoder.layers.1.linear2.bias,2,0,0.6907159973077999
decoder.encoder.layers.1.linear2.bias,2,1,0.9410874147381566
decoder.encoder.layers.1.linear2.weight,0,1,0.6533576752950823
decoder.encoder.layers.1.linear2.weight,0,2,0.6153034643419925
decoder.encoder.layers.1.linear2.weight,1,0,0.6533576752950823
decoder.encoder.layers.1.linear2.weight,1,2,0.8620960845625119
decoder.encoder.layers.1.linear2.weight,2,0,0.6153034643419925
decoder.encoder.layers.1.linear2.weight,2,1,0.8620960845625119
decoder.encoder.layers.1.norm1.bias,0,1,0.8156797156907164
decoder.encoder.layers.1.norm1.bias,0,2,0.7807307934250535
decoder.encoder.layers.1.norm1.bias,1,0,0.8156797156907164
decoder.encoder.layers.1.norm1.bias,1,2,0.9376374802719648
decoder.encoder.layers.1.norm1.bias,2,0,0.7807307934250535
decoder.encoder.layers.1.norm1.bias,2,1,0.9376374802719648
decoder.encoder.layers.1.norm1.weight,0,1,0.5074889167613184
decoder.encoder.layers.1.norm1.weight,0,2,0.6064695331568782
decoder.encoder.layers.1.norm1.weight,1,0,0.5074889167613184
decoder.encoder.layers.1.norm1.weight,1,2,0.8615107185360725
decoder.encoder.layers.1.norm1.weight,2,0,0.6064695331568782
decoder.encoder.layers.1.norm1.weight,2,1,0.8615107185360725
