i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.3445901729225071,1
0,2,0.17889701773966132,2
0,3,0.0584099372226211,3
0,4,0.05195004881031359,4
1,0,0.3445901729225071,1
1,1,1.0,0
1,2,0.3209288105117386,1
1,3,0.11252950813505017,2
1,4,0.10153125103435467,3
2,0,0.17889701773966132,2
2,1,0.3209288105117386,1
2,2,1.0,0
2,3,0.15075051504807896,1
2,4,0.20051053432345842,2
3,0,0.0584099372226211,3
3,1,0.11252950813505017,2
3,2,0.15075051504807896,1
3,3,1.0,0
3,4,0.5448349929078997,1
4,0,0.05195004881031359,4
4,1,0.10153125103435467,3
4,2,0.20051053432345842,2
4,3,0.5448349929078997,1
4,4,1.0,0
