i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.6857282724157825,1
0,2,0.6938219082755042,2
1,0,0.6857282724157825,1
1,1,1.0,0
1,2,0.8435012633049384,1
2,0,0.6938219082755042,2
2,1,0.8435012633049384,1
2,2,1.0,0
