merge_scale,metric,value,selected
0.0,forecast/mse,0.4139898121356964,0
0.05,forecast/mse,0.3338644504547119,0
0.1,forecast/mse,0.28151240944862366,0
0.15,forecast/mse,0.25987163186073303,1
0.2,forecast/mse,0.26503270864486694,0
0.25,forecast/mse,0.28992199897766113,0
0.3,forecast/mse,0.32789695262908936,0
0.35,forecast/mse,0.37359461188316345,0
0.4,forecast/mse,0.42251142859458923,0
0.45,forecast/mse,0.470928817987442,0
0.5,forecast/mse,0.5169869661331177,0
0.55,forecast/mse,0.5626387596130371,0
0.6,forecast/mse,0.6147739887237549,0
0.65,forecast/mse,0.6826828718185425,0
0.7,forecast/mse,0.7721980214118958,0
0.75,forecast/mse,0.8800264596939087,0
0.8,forecast/mse,0.9967531561851501,0
0.85,forecast/mse,1.1138843297958374,0
0.9,forecast/mse,1.2266309261322021,0
0.95,forecast/mse,1.3332335948944092,0
1.0,forecast/mse,1.4335765838623047,0
1.05,forecast/mse,1.5283863544464111,0
1.1,forecast/mse,1.6187100410461426,0
1.15,forecast/mse,1.7058943510055542,0
1.2,forecast/mse,1.791386365890503,0
