i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.2492277265397761,1
0,2,0.16540766315577327,2
0,3,0.22053326034190937,3
0,4,0.09633415874073242,4
1,0,0.2492277265397761,1
1,1,1.0,0
1,2,0.03753451410691268,1
1,3,0.05434903978054797,2
1,4,-0.04772683579278309,3
2,0,0.16540766315577327,2
2,1,0.03753451410691268,1
2,2,1.0,0
2,3,0.27936443253920895,1
2,4,0.03532877263625026,2
3,0,0.22053326034190937,3
3,1,0.05434903978054797,2
3,2,0.27936443253920895,1
3,3,1.0,0
3,4,0.27503374769108707,1
4,0,0.09633415874073242,4
4,1,-0.04772683579278309,3
4,2,0.03532877263625026,2
4,3,0.27503374769108707,1
4,4,1.0,0
