parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.5977657059140639
decoder.encoder.layers.0.linear1.bias,0,2,0.646836589788811
decoder.encoder.layers.0.linear1.bias,1,0,0.5977657059140639
decoder.encoder.layers.0.linear1.bias,1,2,0.8874518393569713
decoder.encoder.layers.0.linear1.bias,2,0,0.646836589788811
decoder.encoder.layers.0.linear1.bias,2,1,0.8874518393569713
decoder.encoder.layers.0.linear1.weight,0,1,0.3564641484464592
decoder.encoder.layers.0.linear1.weight,0,2,0.44619779695357475
decoder.encoder.layers.0.linear1.weight,1,0,0.3564641484464592
decoder.encoder.layers.0.linear1.weight,1,2,0.7716040455754793
decoder.encoder.layers.0.linear1.weight,2,0,0.44619779695357475
decoder.encoder.layers.0.linear1.weight,2,1,0.7716040455754793
decoder.encoder.layers.0.linear2.bias,0,1,0.8252719838785696
decoder.encoder.layers.0.linear2.bias,0,2,0.8368003748774624
decoder.encoder.layers.0.linear2.bias,1,0,0.8252719838785696
decoder.encoder.layers.0.linear2.bias,1,2,0.9648725359242043
decoder.encoder.layers.0.linear2.bias,2,0,0.8368003748774624
decoder.encoder.layers.0.linear2.bias,2,1,0.9648725359242043
decoder.encoder.layers.0.linear2.weight,0,1,0.6202843699329339
decoder.encoder.layers.0.linear2.weight,0,2,0.6931523762801489
decoder.encoder.layers.0.linear2.weight,1,0,0.6202843699329339
decoder.encoder.layers.0.linear2.weight,1,2,0.8564420701442997
decoder.encoder.layers.0.linear2.weight,2,0,0.6931523762801489
decoder.encoder.layers.0.linear2.weight,2,1,0.8564420701442997
decoder.encoder.layers.0.norm1.bias,0,1,0.7642701474103472
decoder.encoder.layers.0.norm1.bias,0,2,0.6655358626320258
decoder.encoder.layers.0.norm1.bias,1,0,0.7642701474103472
decoder.encoder.layers.0.norm1.bias,1,2,0.8494268044034711
decoder.encoder.layers.0.norm1.bias,2,0,0.6655358626320258
decoder.encoder.layers.0.norm1.bias,2,1,0.8494268044034711
decoder.encoder.layers.0.norm1.weight,0,1,0.5394328459771885
decoder.encoder.layers.0.norm1.weight,0,2,0.6304582098155559
decoder.encoder.layers.0.norm1.weight,1,0,0.5394328459771885
decoder.encoder.layers.0.norm1.weight,1,2,0.8581283957018071
decoder.encoder.layers.0.norm1.weight,2,0,0.6304582098155559
decoder.encoder.layers.0.norm1.weight,2,1,0.8581283957018071
decoder.encoder.layers.0.norm2.bias,0,1,0.5330418577437946
decoder.encoder.layers.0.norm2.bias,0,2,0.6458445683239473
decoder.encoder.layers.0.norm2.bias,1,0,0.5330418577437946
decoder.encoder.layers.0.norm2.bias,1,2,0.9139322018482926
decoder.encoder.layers.0.norm2.bias,2,0,0.6458445683239473
decoder.encoder.layers.0.norm2.bias,2,1,0.9139322018482926
decoder.encoder.layers.0.norm2.weight,0,1,0.45561924543896526
decoder.encoder.layers.0.norm2.weight,0,2,0.6649367015289929
decoder.encoder.layers.0.norm2.weight,1,0,0.45561924543896526
decoder.encoder.layers.0.norm2.weight,1,2,0.7958680849109118
decoder.encoder.layers.0.norm2.weight,2,0,0.6649367015289929
decoder.encoder.layers.0.norm2.weight,2,1,0.7958680849109118
