experiment_name,run_id,dataset,task,n_segments,merge_scale,baseline_fraction,n_parameters,mean_offdiag_cosine,min_offdiag_cosine,max_offdiag_cosine,cosine_at_distance_1,effective_rank,mean_tau_norm,mean_tau_over_base,min_tau_over_base,max_tau_over_base,mean_sequential_overlap,last_sequential_overlap,mean_principal_angle_rad,run_dir
selalpha_etth1_n3,84598,EtthForecastDataset,forecast,3,0.3,0.5,714780,0.199046663020732,0.1539038980118841,0.22236857600081897,0.22161804552515596,2.586919314763241,1.2877296502436113,0.013437278184069543,0.008848337741650376,0.016897097842082258,0.05489119746457091,0.06033461133656316,0.9466654842742527,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_etth1_n3/84598
selalpha_etth1_n3,84599,EtthForecastDataset,forecast,3,0.3,0.5,714780,0.22817860041555008,0.17480092501545183,0.2733711704004224,0.25486743811559925,2.3038045588506586,1.845590540256792,0.019250978266757608,0.009405085696372346,0.02649696176723147,0.07186056332999488,0.06898932985396122,0.9193956790014812,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_etth1_n3/84599
selalpha_etth1_n3,84600,EtthForecastDataset,forecast,3,0.35,0.5,714780,0.23912462914936047,0.20601897040124867,0.2822645950201651,0.2556774585234163,2.090244453515737,1.537754295899531,0.01630878763645955,0.006839341025066704,0.025228264013240773,0.07693333325688956,0.07419336491196235,0.9249410579672748,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_etth1_n3/84600
selalpha_exchange_n3,84601,ExchangeRateForecastDataset,forecast,3,0.55,0.5,712096,0.2406245084743747,0.08714743136944988,0.48053212225482045,0.31736304702683715,1.7807635460030953,1.279154712951779,0.017168748550992274,0.010163032424826874,0.030802201460107446,0.12745420637979196,0.023997292241119385,1.0521047875002478,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_exchange_n3/84601
selalpha_exchange_n3,84602,ExchangeRateForecastDataset,forecast,3,0.55,0.5,712096,0.23154421707642245,0.06309468831672424,0.48039820968582597,0.3157689814562715,1.8328142992013483,1.3967345123547197,0.018738449284981157,0.010025458541259922,0.033011318653787224,0.12687165139515197,0.02296086292123521,1.0575017114473844,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_exchange_n3/84602
selalpha_exchange_n3,84603,ExchangeRateForecastDataset,forecast,3,0.55,0.5,712096,0.2428301473156056,0.08628447243146557,0.495397854267094,0.32110298475767557,1.838302601900163,1.30766664199932,0.017469418139485614,0.009768451520466811,0.030671773338980423,0.13360759555180443,0.021796157091447853,1.0180573511909534,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/selalpha_exchange_n3/84603
adfc2_psm_merge_n3,85141,PsmForecastDataset,forecast,3,0.3,0.5,728676,0.1716096940147652,0.11328416694063301,0.2414688595224175,0.20077245755183126,2.16989533856785,3.534946433008336,0.036627128344071225,0.024910166468923113,0.0577999225741704,0.04492308629557121,0.03153896247208626,1.0029400199995573,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_psm_merge_n3/85141
adfc2_psm_merge_n3,85142,PsmForecastDataset,forecast,3,0.35,0.5,728676,0.15734773686182044,0.12577267068409742,0.2082633926026762,0.17313526995068193,2.0157953202306844,4.205938055081052,0.043775577884448004,0.02516369568243612,0.0730327104422056,0.036130736724480944,0.028887832750593295,1.0101728943177624,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_psm_merge_n3/85142
adfc2_psm_merge_n3,85143,PsmForecastDataset,forecast,3,0.3,0.5,728676,0.14246044880388234,0.12456212419215199,0.16729969589001872,0.14593091004108535,1.8546872536192789,4.974115069316179,0.05161905356367232,0.02735714764614616,0.09122932343795799,0.021986910146770053,0.015984632048648313,1.0411519310731148,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_psm_merge_n3/85143
adfc2_swat_merge_n3,85177,SwatForecastDataset,forecast,3,0.25,0.5,748748,0.5314871127076416,0.4004361626126452,0.7404841453073719,0.5704601539600086,2.1410036420061056,3.982402404975479,0.02107927697330066,0.01802336890820128,0.02285246513232599,0.3690156320481342,0.5776821437685343,0.8547163732803429,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_swat_merge_n3/85177
adfc2_swat_merge_n3,85178,SwatForecastDataset,forecast,3,0.3,0.5,748748,0.4889518105930574,0.39779190897015065,0.6644457802646929,0.5311188446174218,1.988186432741973,4.7455964540797675,0.025168410670189777,0.017439369984074988,0.035762907230883816,0.3115565968837793,0.46487479092564804,0.8732476967763493,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_swat_merge_n3/85178
adfc2_swat_merge_n3,85179,SwatForecastDataset,forecast,3,0.3,0.5,748748,0.45494950651612154,0.3156457284655326,0.6600663397715488,0.4878560341185407,2.388342409781811,6.270004009017587,0.03631091278120172,0.03346823345116367,0.03827130565047146,0.28581069456275066,0.47198916322704254,0.8836306640603183,/work/tesi_ddellacasaventurelli01/incremental-ad/runs/adfc2_swat_merge_n3/85179
