step,lambda_star,one_over_t,weight,one_over_n,max_dev_from_uniform,fisher_batches,fisher_seed,seed
0,1.0,1.0,0.2952977775649742,0.2,0.9850053197735886,256,0,42
1,0.684681502890149,0.5,0.6412085811536454,0.2,0.9850053197735886,256,0,42
2,0.6744124665766826,0.3333333333333333,1.9398518017795197,0.2,0.9850053197735886,256,0,42
3,0.4083227530360754,0.25,1.9850053197735886,0.2,0.9850053197735886,256,0,42
4,0.027727303945654477,0.2,0.13863651972827237,0.2,0.9850053197735886,256,0,42
