i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.6707686302043872,1
0,2,0.6383685179368465,2
0,3,0.7313406171125112,3
0,4,0.609531534750473,4
1,0,0.6707686302043872,1
1,1,1.0,0
1,2,0.6937082576277431,1
1,3,0.7487983878574197,2
1,4,0.6189407246994504,3
2,0,0.6383685179368465,2
2,1,0.6937082576277431,1
2,2,1.0,0
2,3,0.8481635778865345,1
2,4,0.7493771212958149,2
3,0,0.7313406171125112,3
3,1,0.7487983878574197,2
3,2,0.8481635778865345,1
3,3,1.0,0
3,4,0.8149940157432096,1
4,0,0.609531534750473,4
4,1,0.6189407246994504,3
4,2,0.7493771212958149,2
4,3,0.8149940157432096,1
4,4,1.0,0
