i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.26444426268261645,1
0,2,0.15102579010853734,2
1,0,0.26444426268261645,1
1,1,1.0,0
1,2,0.2087428930358141,1
2,0,0.15102579010853734,2
2,1,0.2087428930358141,1
2,2,1.0,0
