i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.2937353170514923,1
0,2,0.1667809447581561,2
0,3,0.26710982184802073,3
0,4,0.24833665451628115,4
1,0,0.2937353170514923,1
1,1,1.0,0
1,2,0.3442897686489849,1
1,3,0.44471993314134134,2
1,4,0.3958182901676912,3
2,0,0.1667809447581561,2
2,1,0.3442897686489849,1
2,2,1.0,0
2,3,0.37836778838500684,1
2,4,0.31214587864755783,2
3,0,0.26710982184802073,3
3,1,0.44471993314134134,2
3,2,0.37836778838500684,1
3,3,1.0,0
3,4,0.31825114766560986,1
4,0,0.24833665451628115,4
4,1,0.3958182901676912,3
4,2,0.31214587864755783,2
4,3,0.31825114766560986,1
4,4,1.0,0
