model,column,block,metric,value,ratio_to_base,n_windows,eval_seed
base,val_base,val,forecast/mae,0.31466248631477356,1.0,4061,124
ft_0,val_base,val,forecast/mae,0.34077221155166626,1.0829769240772278,4061,124
ft_1,val_base,val,forecast/mae,0.37234702706336975,1.1833219505260353,4061,124
merged,val_base,val,forecast/mae,0.3273979425430298,1.0404733858726212,4061,124
base,val_base,val,forecast/mse,0.4422145485877991,1.0,4061,124
ft_0,val_base,val,forecast/mse,0.26751071214675903,0.6049342180193928,4061,124
ft_1,val_base,val,forecast/mse,0.4500008225440979,1.0176074576948317,4061,124
merged,val_base,val,forecast/mse,0.3535715937614441,0.7995476288389108,4061,124
base,val_base,val,forecast/rmse,0.6649921417489075,1.0,4061,124
ft_0,val_base,val,forecast/rmse,0.5172143773589043,0.7777751718969903,4061,124
ft_1,val_base,val,forecast/rmse,0.6708210063378293,1.008765313487152,4061,124
merged,val_base,val,forecast/rmse,0.5946188642832012,0.8941742720739122,4061,124
base,val_0,val,forecast/mae,0.26225927472114563,1.0,1971,124
ft_0,val_0,val,forecast/mae,0.2017500102519989,0.7692769320227669,1971,124
ft_1,val_0,val,forecast/mae,0.24673064053058624,0.9407889989512453,1971,124
merged,val_0,val,forecast/mae,0.2082698941230774,0.794137383108857,1971,124
base,val_0,val,forecast/mse,0.11825286597013474,1.0,1971,124
ft_0,val_0,val,forecast/mse,0.07281433045864105,0.6157510844348637,1971,124
ft_1,val_0,val,forecast/mse,0.10689540952444077,0.9039561844652261,1971,124
merged,val_0,val,forecast/mse,0.07587464153766632,0.6416304663332962,1971,124
base,val_0,val,forecast/rmse,0.3438791444245125,1.0,1971,124
ft_0,val_0,val,forecast/rmse,0.269841306064585,0.7846980848930776,1971,124
ft_1,val_0,val,forecast/rmse,0.32694863438228455,0.9507661039736462,1971,124
merged,val_0,val,forecast/rmse,0.2754535197409289,0.8010183932552961,1971,124
base,val_1,val,forecast/mae,0.5325295925140381,1.0,1971,124
ft_0,val_1,val,forecast/mae,0.8101065754890442,1.521242362634878,1971,124
ft_1,val_1,val,forecast/mae,0.24002639949321747,0.45072875360797926,1971,124
merged,val_1,val,forecast/mae,0.4424581527709961,0.8308611558696287,1971,124
base,val_1,val,forecast/mse,0.4618857204914093,1.0,1971,124
ft_0,val_1,val,forecast/mse,0.8493860363960266,1.8389527944105917,1971,124
ft_1,val_1,val,forecast/mse,0.11284920573234558,0.24432278532508667,1971,124
merged,val_1,val,forecast/mse,0.29924577474594116,0.6478783852152167,1971,124
base,val_1,val,forecast/rmse,0.6796217481006691,1.0,1971,124
ft_0,val_1,val,forecast/rmse,0.921621417066697,1.3560799365858163,1971,124
ft_1,val_1,val,forecast/rmse,0.33593035845595376,0.4942901833185509,1971,124
merged,val_1,val,forecast/rmse,0.5470336139086347,0.8049089297648627,1971,124
base,test,test,forecast/mae,0.6163520216941833,1.0,13817,124
ft_0,test,test,forecast/mae,0.2752837836742401,0.4466340240396392,13817,124
ft_1,test,test,forecast/mae,0.2630460262298584,0.4267788811770532,13817,124
merged,test,test,forecast/mae,0.28003546595573425,0.4543433883545855,13817,124
standard,test,test,forecast/mae,0.1895199418067932,0.3074865257776792,13817,124
base,test,test,forecast/mse,0.6440943479537964,1.0,13817,124
ft_0,test,test,forecast/mse,0.15382631123065948,0.23882574302871246,13817,124
ft_1,test,test,forecast/mse,0.11654260754585266,0.18094027360447007,13817,124
merged,test,test,forecast/mse,0.12962958216667175,0.20125868605816524,13817,124
standard,test,test,forecast/mse,0.07243470102548599,0.11245976813117764,13817,124
base,test,test,forecast/rmse,0.8025548878137846,1.0,13817,124
ft_0,test,test,forecast/rmse,0.3922069749898126,0.48869800800567265,13817,124
ft_1,test,test,forecast/rmse,0.3413833732709498,0.4253707484118649,13817,124
merged,test,test,forecast/rmse,0.36004108399830115,0.4486186421206382,13817,124
standard,test,test,forecast/rmse,0.2691369558895359,0.33535021713304086,13817,124
