batch_size,n_batches,samples,step,fisher_num,lambda_term,fisher_den,ratio_lambda_over_f,floor_is_t,implied_lambda,recorded_lambda,recorded_fisher_num,recorded_fisher_den,d_norm,fisher_star_num,asymmetry_hat_over_star
1,8192,8192,1,0.0008044342341338178,0.0001770117397972507,0.0009814459739310684,0.2200450108738221,1,0.819641891149392,0.5305354950884335,1.2271236485828787e-05,2.312990666870146e-05,6.801470756530762,0.010826226889934119,0.07430420979646706
1,8192,8192,2,1.0685926371460155e-05,0.0020300572339997693,0.0020407431603712296,189.97484761093077,2,0.005236291650496718,0.0002169959390314264,1.3620220956992716e-07,0.0006276716982717437,4.090946674346924,4.9010456121819195e-05,0.2180336037864956
1,8192,8192,3,1.4131914818074633e-05,0.0012857255451091604,0.0012998574599272352,90.98027844497939,3,0.010871895768375807,0.0008966248290216204,3.853976188570967e-07,0.0004298315263895102,3.0604748725891113,0.00012853883615454367,0.10994276314345709
8,1024,8192,1,0.00010471925476452932,3.186760751892851e-05,0.00013658686228345784,0.304314689696615,1,0.7666861439953583,0.5305354950884335,1.2271236485828787e-05,2.312990666870146e-05,6.801470756530762,0.003610515463700809,0.029003962402972566
8,1024,8192,2,1.3815582075104309e-06,0.0007848694021251893,0.0007862509603326997,568.1044764226942,2,0.0017571466073959753,0.0002169959390314264,1.3620220956992716e-07,0.0006276716982717437,4.090946674346924,1.541547582578308e-05,0.08962150913303062
8,1024,8192,3,2.01180434732245e-06,0.0005266233729599989,0.0005286351773073213,261.7666939933261,3,0.003805657348740699,0.0008966248290216204,3.853976188570967e-07,0.0004298315263895102,3.0604748725891113,8.217034170890071e-05,0.02448333918884666
64,128,8192,1,1.744223526629245e-05,1.247684502029565e-05,2.99190802865881e-05,0.7153237431906139,1,0.5829803289144327,0.5305354950884335,1.2271236485828787e-05,2.312990666870146e-05,6.801470756530762,0.002758891550144408,0.00632218952766718
64,128,8192,2,2.2086627234985817e-07,0.000639939427815982,0.0006401602940883319,2897.406747564882,2,0.0003450171377223564,0.0002169959390314264,1.3620220956992716e-07,0.0006276716982717437,4.090946674346924,1.1155627060830453e-05,0.019798642527712497
64,128,8192,3,4.753501768350336e-07,0.000437125099387824,0.000437600449564659,919.5854355167826,3,0.0010862652844802363,0.0008966248290216204,3.853976188570967e-07,0.0004298315263895102,3.0604748725891113,7.612226171527264e-05,0.00624456192083508
128,64,8192,1,1.2230556062294319e-05,1.0787280301616352e-05,2.301783636391067e-05,0.8819942647474996,1,0.5313512473079541,0.5305354950884335,1.2271236485828787e-05,2.312990666870146e-05,6.801470756530762,0.0026865919091266875,0.004552442825702555
128,64,8192,2,1.310044943089584e-07,0.0006271791053605218,0.0006273101098548308,4787.462511640211,2,0.00020883529892300773,0.0002169959390314264,1.3620220956992716e-07,0.0006276716982717437,4.090946674346924,1.0849176746861505e-05,0.012075063146782628
128,64,8192,3,4.012798274217454e-07,0.000429266816345852,0.00042966809617327374,1069.7443205753084,3,0.000933929772760973,0.0008966248290216204,3.853976188570967e-07,0.0004298315263895102,3.0604748725891113,7.574748862569055e-05,0.005297599098033293
