batch_size,n_batches,samples,step,fisher_num,lambda_term,fisher_den,ratio_lambda_over_f,floor_is_t,implied_lambda,recorded_lambda,recorded_fisher_num,recorded_fisher_den,d_norm,fisher_star_num,asymmetry_hat_over_star
1,8192,8192,1,0.0008572496033987881,0.00014974895430356196,0.00100699855770235,0.17468535851150405,1,0.8512917886940758,0.6338916698917365,1.350765989232178e-05,2.130909827956688e-05,6.685657024383545,0.004778488935887306,0.17939763278736304
1,8192,8192,2,1.220378754974998e-05,0.0006893428376863218,0.0007015466252360717,56.48597493820223,2,0.017395547367423204,0.0010252089535410494,1.522023461267814e-07,0.0001484598291900181,4.432879447937012,6.929854067464285e-05,0.1761045388682404
1,8192,8192,3,1.2130940806959777e-05,0.00020649862595780252,0.0002186295667647623,17.02247412165509,3,0.055486277480539685,0.008196259788274474,4.436416337047957e-07,5.4127326996085095e-05,1.955674171447754,8.439119600937145e-05,0.1437465207343745
8,1024,8192,1,0.00011415459186135277,2.489584592944418e-05,0.00013905043779079693,0.21808886986939255,1,0.8209581621965099,0.6338916698917365,1.350765989232178e-05,2.130909827956688e-05,6.685657024383545,0.0015044126005660555,0.07587984294893606
8,1024,8192,2,1.5803659397502672e-06,0.00021339109554149743,0.0002149714614812477,135.02638229169756,2,0.00735151507488879,0.0010252089535410494,1.522023461267814e-07,0.0001484598291900181,4.432879447937012,2.6396853120477765e-05,0.05986948264390932
8,1024,8192,3,1.8156287675340734e-06,7.190028108973283e-05,7.37159098572669e-05,39.60076111119643,3,0.024630080142124016,0.008196259788274474,4.436416337047957e-07,5.4127326996085095e-05,1.955674171447754,5.646609989208422e-05,0.03215431508469739
64,128,8192,1,2.013062335402343e-05,8.831157291315654e-06,2.8961780645339084e-05,0.4386926890443561,1,0.6950754720691913,0.6338916698917365,1.350765989232178e-05,2.130909827956688e-05,6.685657024383545,0.0010862606577516879,0.018532037601075635
64,128,8192,2,2.403168766345587e-07,0.00015282353634292324,0.0001530638532195578,635.9251105585752,2,0.0015700432961781217,0.0010252089535410494,1.522023461267814e-07,0.0001484598291900181,4.432879447937012,2.0880688810035062e-05,0.01150904928572398
64,128,8192,3,5.135344501449061e-07,5.495015853958476e-05,5.546369298972967e-05,107.00384078240369,3,0.009258929985783645,0.008196259788274474,4.436416337047957e-07,5.4127326996085095e-05,1.955674171447754,5.284234832693132e-05,0.009718236724978803
128,64,8192,1,1.320397478799062e-05,7.459274654976336e-06,2.0663249442966955e-05,0.5649264539463338,1,0.6390076654901338,0.6338916698917365,1.350765989232178e-05,2.130909827956688e-05,6.685657024383545,0.0010594692272639819,0.012462820484261844
128,64,8192,2,1.5889124901900077e-07,0.00014849263022981892,0.00014865152147883792,934.555119596685,2,0.001068884108539855,0.0010252089535410494,1.522023461267814e-07,0.0001484598291900181,4.432879447937012,2.046680310244181e-05,0.007763364323373204
128,64,8192,3,4.143947255503339e-07,5.3717201468984915e-05,5.413159619453525e-05,129.6281013172795,3,0.007655320638635968,0.008196259788274474,4.436416337047957e-07,5.4127326996085095e-05,1.955674171447754,5.261685117479321e-05,0.00787570362532175
