parameter,i,j,cosine
decoder.encoder.layers.0.linear1.bias,0,1,0.562779084740514
decoder.encoder.layers.0.linear1.bias,0,2,0.1893891262157171
decoder.encoder.layers.0.linear1.bias,1,0,0.562779084740514
decoder.encoder.layers.0.linear1.bias,1,2,0.46290683703539515
decoder.encoder.layers.0.linear1.bias,2,0,0.1893891262157171
decoder.encoder.layers.0.linear1.bias,2,1,0.46290683703539515
decoder.encoder.layers.0.linear1.weight,0,1,0.45687514672113594
decoder.encoder.layers.0.linear1.weight,0,2,0.32464384217135583
decoder.encoder.layers.0.linear1.weight,1,0,0.45687514672113594
decoder.encoder.layers.0.linear1.weight,1,2,0.31952853775509404
decoder.encoder.layers.0.linear1.weight,2,0,0.32464384217135583
decoder.encoder.layers.0.linear1.weight,2,1,0.31952853775509404
decoder.encoder.layers.0.linear2.bias,0,1,0.6281360234487887
decoder.encoder.layers.0.linear2.bias,0,2,0.012695925450587765
decoder.encoder.layers.0.linear2.bias,1,0,0.6281360234487887
decoder.encoder.layers.0.linear2.bias,1,2,0.5274351814168186
decoder.encoder.layers.0.linear2.bias,2,0,0.012695925450587765
decoder.encoder.layers.0.linear2.bias,2,1,0.5274351814168186
decoder.encoder.layers.0.linear2.weight,0,1,0.5192801829429544
decoder.encoder.layers.0.linear2.weight,0,2,0.210566151111625
decoder.encoder.layers.0.linear2.weight,1,0,0.5192801829429544
decoder.encoder.layers.0.linear2.weight,1,2,0.38336958488913064
decoder.encoder.layers.0.linear2.weight,2,0,0.210566151111625
decoder.encoder.layers.0.linear2.weight,2,1,0.38336958488913064
decoder.encoder.layers.0.norm1.bias,0,1,0.38627627355487193
decoder.encoder.layers.0.norm1.bias,0,2,-0.12411067417500508
decoder.encoder.layers.0.norm1.bias,1,0,0.38627627355487193
decoder.encoder.layers.0.norm1.bias,1,2,0.46512675876064535
decoder.encoder.layers.0.norm1.bias,2,0,-0.12411067417500508
decoder.encoder.layers.0.norm1.bias,2,1,0.46512675876064535
