i,j,cosine,temporal_distance
0,0,1.0,0
0,1,0.2822645950201651,1
0,2,0.20601897040124867,2
1,0,0.2822645950201651,1
1,1,1.0,0
1,2,0.22909032202666751,1
2,0,0.20601897040124867,2
2,1,0.22909032202666751,1
2,2,1.0,0
