run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
80675,EtthForecastDataset,3,42,forecast/mse,0.735878,0.449205,0.419071,6.708
80675,EtthForecastDataset,3,42,forecast/mae,0.629235,0.478273,0.465217,2.73
