run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79922,ExchangeRateForecastDataset,2,123,forecast/mse,0.759749,0.225417,0.223781,0.726
79922,ExchangeRateForecastDataset,2,123,forecast/mae,0.694965,0.393503,0.387824,1.443
