run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
80669,ExchangeRateForecastDataset,3,42,forecast/mse,0.70333,0.52111,0.283573,45.583
80669,ExchangeRateForecastDataset,3,42,forecast/mae,0.675291,0.557581,0.418573,24.931
