run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79678,ExchangeRateForecastDataset,3,123,forecast/mse,0.700629,0.443017,0.242601,45.239
79678,ExchangeRateForecastDataset,3,123,forecast/mae,0.674293,0.546474,0.391166,28.42
