run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79884,ExchangeRateForecastDataset,2,7,forecast/mse,0.750047,0.22849,0.225416,1.345
79884,ExchangeRateForecastDataset,2,7,forecast/mae,0.702971,0.39511,0.391175,0.996
