run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79353,EtthForecastDataset,3,7,forecast/mse,0.749783,0.421526,0.396693,5.891
79353,EtthForecastDataset,3,7,forecast/mae,0.613557,0.460431,0.445369,3.271
