run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
80553,Etth2ForecastDataset,5,123,forecast/mse,0.916706,0.230186,0.171206,25.623
80553,Etth2ForecastDataset,5,123,forecast/mae,0.707149,0.346519,0.309741,10.614
