run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79872,EtthForecastDataset,2,7,forecast/mse,0.752792,0.401818,0.393017,2.19
79872,EtthForecastDataset,2,7,forecast/mae,0.626717,0.445694,0.444049,0.369
