run,dataset,n_segments,seed,metric,base,best_single,oracle_router,oracle_vs_best_single_pct
79937,ExchangeRateForecastDataset,5,7,forecast/mse,0.714749,0.299187,0.247604,17.241
79937,ExchangeRateForecastDataset,5,7,forecast/mae,0.695653,0.459244,0.416581,9.29
