segment,tau_norm,tau_over_base,base_norm
0,5.3172095249509965,0.05568262286838326,95.4913624941709
1,2.996714216867373,0.031382044811124166,95.4913624941709
2,2.395670483430927,0.025087823870741884,95.4913624941709
