group,n_segments,n_seeds,n_dropped_no_val,n_dropped_grid_mismatch,n_grid_points,val_base_weight_pct,alpha_star,alpha_star_pooled,alpha_star_n,alpha_excl_val_base,alpha_excl_n,alpha_oracle,grr_val,grr_oracle,honest_alpha_cost_pct,grr_val_per_seed,grr_val_per_seed_sd,grr_oracle_per_seed,grr_oracle_per_seed_sd,n_seeds_grr,alpha_star_blockmean,alpha_star_blockmean_n,alpha_one_over_n,penalty_one_over_n_pct
noisefloor_psm_diagnostics,3,3,1,2,16,50.5,0.4333,0.4,1.3,0.6,1.8,0.8,0.7484,1.067,29.9,0.7835,0.0146,1.0784,0.0174,3,0.25,0.75,0.3333,1.5
noisefloor_swat_diagnostics,3,3,1,2,16,50.1,0.2333,0.2,0.7,0.3667,1.1,1.5,0.0186,0.6083,96.9,0.0186,0.0287,0.6002,0.0734,3,0.25,0.75,0.3333,0.6
segsweep_psm_merge_n2_diagnostics,2,3,2,1,16,50.3,0.5333,0.6,1.067,0.7667,1.533,1.3,0.8848,1.1856,25.4,0.9141,0.0327,1.1978,0.0085,3,0.3,0.6,0.5,1.0
segsweep_psm_merge_n5_diagnostics,5,3,2,1,16,51.0,0.3,0.3,1.5,0.5,2.5,0.7,0.5521,0.9836,43.9,0.5422,0.0951,1.0002,0.0819,3,0.2167,1.083,0.2,1.7
segsweep_swat_merge_n2_diagnostics,2,3,2,1,16,50.1,0.4,0.4,0.8,0.6,1.2,1.5,0.025,0.6139,95.9,0.0222,0.0279,0.6142,0.0609,3,0.3833,0.767,0.5,0.5
segsweep_swat_merge_n5_diagnostics,5,3,2,1,16,50.3,0.2,0.2,1.0,0.3,1.5,1.5,0.0166,0.8269,98.0,0.015,0.0172,0.8144,0.1007,3,0.2,1.0,0.2,0.9
